Shape,ESD,CSF,Wt_Calc,Wt_Meas,Time,Distance,timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.0174151047010555,0.040572985,0.0304,0.000446135325121884,0.0002,70.56401359,41.4947322496837,5.000583972,27.1327973593758
Fragment,0.002086938,0.314547798915943,0.0272400469780918,0.056497175,0.0476,0.00109630745493584,0.0002,120.5583645,79.6341064925357,3.164211244,13.606618330461
Fragment,0.000996582,0.0977562885497524,0.0103576237193018,0.01843318,0.0182,0.000157960531656804,0.0002,18.78341076,14.4595534408568,14.19456233,44.9432512424163
Fragment,0.001368883,0.217466712599566,0.0175109622113618,0.033613445,0.0308,0.000454831783573165,0.0002,47.04791549,33.5782496156877,5.863401305,21.5977995656387
Fragment,0.00194646,0.110425679175415,0.016808533312299,0.039215686,0.0292,0.000413327371808201,0.0002,78.04884112,45.8307553363484,6.125412255,33.331016798956
Fragment,0.001837442,0.614153320087042,0.0331968633680076,0.056497175,0.0584,0.00164148633322542,0.0002,106.1454753,85.4461309798312,2.785926202,8.06627412644674
Fragment,0.001903832,0.607812939702285,0.0322387892742765,0.05988024,0.0566,0.00154456388041815,0.0002,116.5663892,85.9783404564676,2.569632877,8.86186114350775
Fragment,0.002284278,0.737568823367241,0.0497758881137691,0.089686099,0.0876,0.00369790010850992,0.0002,209.476473,159.275760351513,1.374384276,4.46028094116232
Fragment,0.001596692,0.133253919503848,0.01680024354129,0.040733198,0.0294,0.000416260005506778,0.0002,66.50141243,37.5766828331169,4.657294292,27.368747460458
Fragment,0.00168307,0.111830014655198,0.0155617300837395,0.032906643,0.0272,0.000356438607077561,0.0002,56.63006065,36.6894979972332,7.522195588,33.6242890794695
Fragment,0.001939073,0.0792132220091512,0.0149194917368329,0.03868472,0.0258,0.000323555989946195,0.0002,76.69989409,40.5256416491244,6.270825697,42.1450866301835
Fragment,0.002212588,0.148827730530593,0.0180812666930811,0.037160643,0.0314,0.000478376279998641,0.0002,84.07075934,56.0416762603046,7.754318723,32.7418410597295
Fragment,0.001817967,0.101895842990547,0.0151583284331283,0.037174721,0.0264,0.000336791320784599,0.0002,69.10268019,38.6028190053446,6.366489908,38.2780784691273
Fragment,0.002582853,0.358169503538659,0.0302927123371933,0.06779661,0.0526,0.00134705882851471,0.0002,179.0477572,109.602273441116,2.719526337,13.6168156423328
Fragment,0.001762887,0.112834350130696,0.0152930222591624,0.035735849,0.0266,0.000342267534943583,0.0002,64.4153994,37.7658712474455,6.680757556,36.4670982705447
Fragment,0.001474584,0.0657038766404651,0.0115441921542709,0.025247956,0.02,0.000193456199347161,0.0002,38.06772521,23.8459581081292,11.1950633,53.5310222213937
Fragment,0.002184712,0.14238330576472,0.0186795481361654,0.037735849,0.0324,0.000509934742848991,0.0002,84.29647367,57.1665881039794,7.424981092,30.2913425051235
Fragment,0.002633403,0.592065410276255,0.0412558110012602,0.084388186,0.072,0.00251588004290233,0.0002,227.2271198,152.189316715407,1.789631179,7.48511571867808
Fragment,0.002795438,0.62987610365005,0.0420155305070838,0.101010101,0.0732,0.00260459268198928,0.0002,288.7193467,164.528609898196,1.325958076,7.6609135925857
Fragment,0.002720295,0.832775408553888,0.052306570305162,0.104712042,0.0916,0.00406252458104547,0.0002,291.2552583,199.321414402397,1.200693646,4.81010155729905
Fragment,0.001862402,0.331932435701896,0.0183774427245805,0.035273369,0.0494,0.000761853349124152,0.0002,42.43468715,26.6421334039716,4.014904573,14.7825546413874
Fragment,0.001823016,0.288073635876191,0.0180987237517919,0.035971223,0.0488,0.000741511935086209,0.0002,42.35905822,25.6831875356501,3.778989772,14.9192372908361
