Shape,ESD,CSF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.03537142470387,0.040572985,0.0666,0.00201336678000626,0.0002,70.56401359,84.2790108111138,5.000583972,6.57707858367181
Fragment,0.002086938,0.314547798915943,0.0682281860336457,0.056497175,0.1292,0.00753646241228071,0.0002,120.5583645,199.459664543372,3.164211244,2.16885729978926
Fragment,0.000996582,0.0977562885497524,0.0202125834671007,0.01843318,0.038,0.00065587083945626,0.0002,18.78341076,28.2173728975765,14.19456233,11.8011444963715
Fragment,0.001368883,0.217466712599566,0.0313098328395133,0.033613445,0.0592,0.00158431421670789,0.0002,47.04791549,60.0383559635855,5.863401305,6.75550531719981
Fragment,0.00194646,0.110425679175415,0.0406825720724233,0.039215686,0.0766,0.00266363755416107,0.0002,78.04884112,110.926573572027,6.125412255,5.6895880519362
Fragment,0.001837442,0.614153320087042,0.0648642937705922,0.056497175,0.1236,0.00685684702215547,0.0002,106.1454753,166.95562107767,2.785926202,2.11276931117608
Fragment,0.001903832,0.607812939702285,0.0691232238986037,0.05988024,0.1316,0.00777865232165426,0.0002,116.5663892,184.346255290202,2.569632877,1.92765250562888
Fragment,0.002284278,0.737568823367241,0.114026170416537,0.089686099,0.2204,0.0215120322808225,0.0002,209.476473,364.867522836649,1.374384276,0.849938849438049
Fragment,0.001596692,0.133253919503848,0.0384057078194502,0.040733198,0.0726,0.00238335077513326,0.0002,66.50141243,85.9010822174084,4.657294292,5.23696916103008
Fragment,0.00168307,0.111830014655198,0.030734258687185,0.032906643,0.0574,0.00150647105138037,0.0002,56.63006065,72.4613854939034,7.522195588,8.62000877785901
Fragment,0.001939073,0.0792132220091512,0.0365250359460995,0.03868472,0.0684,0.00213426259706273,0.0002,76.69989409,99.2125297619041,6.270825697,7.03175897473793
Fragment,0.002212588,0.148827730530593,0.0290631314265477,0.037160643,0.0534,0.00132375764553526,0.0002,84.07075934,90.0792311824327,7.754318723,12.672649804527
Fragment,0.001817967,0.101895842990547,0.0335613535975135,0.037174721,0.0628,0.00180037802503648,0.0002,69.10268019,85.4687153807636,6.366489908,7.80834790946744
Fragment,0.002582853,0.358169503538659,0.0690241306755446,0.06779661,0.13,0.00767033644031861,0.0002,179.0477572,249.736687825337,2.719526337,2.6226863130299
Fragment,0.001762887,0.112834350130696,0.032007763505669,0.035735849,0.0598,0.00163467491592263,0.0002,64.4153994,79.042654551134,6.680757556,8.32463710267394
Fragment,0.001474584,0.0657038766404651,0.0228604820702462,0.025247956,0.0424,0.00082734053332291,0.0002,38.06772521,47.2211559279229,11.1950633,13.6507486355912
Fragment,0.002184712,0.14238330576472,0.0345696678587268,0.037735849,0.0642,0.00189477739392344,0.0002,84.29647367,105.796454441263,7.424981092,8.84412623552716
Fragment,0.002633403,0.592065410276255,0.102845114536144,0.084388186,0.1942,0.0170689014100548,0.0002,227.2271198,379.387226402976,1.789631179,1.20447418170814
Fragment,0.002795438,0.62987610365005,0.0948339847751592,0.101010101,0.178,0.0144225744393725,0.0002,288.7193467,371.360387405629,1.325958076,1.50372870585461
Fragment,0.002720295,0.832775408553888,0.11320061754284,0.104712042,0.2142,0.0207252183639987,0.0002,291.2552583,431.366596361164,1.200693646,1.0269904484452
Fragment,0.001862402,0.331932435701896,0.0380732257155103,0.035273369,0.1114,0.00359931152707036,0.0002,42.43468715,55.1954901361447,4.014904573,3.44409034856911
Fragment,0.001823016,0.288073635876191,0.0392343631684454,0.035971223,0.1154,0.00384382654730061,0.0002,42.35905822,55.6759427303386,3.778989772,3.17467451100993
Fragment,0.001589028,0.244162329384844,0.0335532657969762,0.027020681,0.099,0.00282021431320687,0.0002,27.7350146,41.5027465726749,5.837603088,3.78358436584961
Fragment,0.001887135,0.281534172714555,0.0465710339216404,0.035898305,0.1382,0.00546691544433277,0.0002,43.76003465,68.4115358552155,3.927813493,2.33244001886018
Fragment,0.001762689,0.227494364831381,0.0344445374083081,0.029895366,0.1008,0.00294684259977091,0.0002,34.03926738,47.2613956288855,5.290096612,3.98271219118807
Fragment,0.002326884,0.357770418917705,0.0542510691036808,0.045045045,0.1592,0.0073319084184159,0.0002,67.70525074,98.2637934060485,3.075929004,2.11932949620516
Fragment,0.001572976,0.151910544045107,0.0234512017366685,0.023557126,0.0678,0.00134828647804,0.0002,23.93563716,28.7142640905943,7.602792007,7.66718030249999
Fragment,0.001931166,0.203758372039665,0.0362259860832376,0.028409091,0.1054,0.00323952134057862,0.0002,35.43868486,54.4565738296659,6.41801341,3.94477164424088
Fragment,0.002105099,0.254068514462169,0.0368987395434028,0.033167496,0.1068,0.00334282182284972,0.0002,45.1009592,60.4636759834848,5.132663125,4.14469985553846
Fragment,0.001903886,0.198345794339446,0.0346145449225582,0.030769231,0.1006,0.0029543143960344,0.0002,37.84061887,51.299136872982,5.393905662,4.25958206527797
Fragment,0.003009733,0.194618364326994,0.0487639542003038,0.040241449,0.1396,0.00577071369384037,0.0002,78.23520109,114.245045807948,4.985129165,3.39289316983681
Fragment,0.00252976,0.146375397879432,0.0317565642605241,0.035735849,0.0906,0.00243865327298905,0.0002,58.39612919,62.5350242645345,5.31332986,6.72443985777006
Fragment,0.003482348,0.155076239361521,0.0534502381727229,0.046082949,0.1526,0.00691397786165209,0.0002,103.6604469,144.887962518635,4.398324944,3.26748559662422
Fragment,0.002552543,0.15210265891292,0.0298336778201793,0.033900369,0.0848,0.00214360271471652,0.0002,55.89565457,59.2775647595376,5.957441725,7.68780067770501
Fragment,0.00305554,0.139544326572798,0.0402755870402042,0.04,0.1148,0.00391862112451439,0.0002,78.94936371,95.7944490580818,5.122284464,5.049455491089
Fragment,0.002679545,0.262446090574843,0.0569276998494846,0.0456621,0.1652,0.00797790835812391,0.0002,79.03464949,118.739490993879,3.447028777,2.216428836466
Fragment,0.002894656,0.107976997051811,0.0448450122339672,0.038910506,0.1284,0.00488148838857165,0.0002,72.75526401,101.04657507272,5.128127612,3.85842176090803
Fragment,0.002893857,0.156845720807416,0.0368993290355043,0.03649635,0.1052,0.00329015955433277,0.0002,68.22243129,83.1200942818577,5.827387715,5.69747649369444
Fragment,0.002787807,0.184092479996992,0.0508264852470054,0.043103448,0.1462,0.00630045415165005,0.0002,77.62031085,110.296891784025,4.024707892,2.89282776272155
Fragment,0.002904201,0.246427092654357,0.056419400170174,0.04784689,0.1626,0.00777932489856472,0.0002,89.75962839,127.545642707053,3.402631649,2.44574040592602
Fragment,0.001740289,0.254488461543747,0.0356034871710659,0.03327787,0.104,0.00314333024173584,0.0002,37.4091264,48.2814556847351,4.241101031,3.70299295875164
