Shape,ESD,CSF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.00719119699206632,0.040572985,0.0122,7.42047519405106e-05,0.0002,70.56401359,17.1343669109516,5.000583972,9.45247923127304
Fragment,0.002086938,0.314547798915943,0.00819655417690194,0.056497175,0.014,9.71789816817234e-05,0.0002,120.5583645,23.9619729261191,3.164211244,3.8850609266984
Fragment,0.000996582,0.0977562885497524,0.00495890455794892,0.01843318,0.0084,3.52181526209142e-05,0.0002,18.78341076,6.92277953003344,14.19456233,16.8055772975692
Fragment,0.001368883,0.217466712599566,0.00586851388605624,0.033613445,0.01,4.96730776645606e-05,0.0002,47.04791549,11.25320366526,5.863401305,10.2984039962935
Fragment,0.00194646,0.110425679175415,0.00863506035782576,0.039215686,0.0148,0.000108296208097069,0.0002,78.04884112,23.5446681290472,6.125412255,8.01865037901376
Fragment,0.001837442,0.614153320087042,0.00704648037187025,0.056497175,0.012,7.15682396606075e-05,0.0002,106.1454753,18.1370895836467,2.785926202,4.12002739219611
Fragment,0.001903832,0.607812939702285,0.00754675138354241,0.05988024,0.0128,8.17007181890464e-05,0.0002,116.5663892,20.1265982501475,2.569632877,3.7581695722094
Fragment,0.002284278,0.737568823367241,0.00839202672922826,0.089686099,0.0144,0.000102424168237493,0.0002,209.476473,26.8532916004025,1.374384276,2.0946360007034
Fragment,0.001596692,0.133253919503848,0.00684717652260771,0.040733198,0.0116,6.71620620005773e-05,0.0002,66.50141243,15.3149077785713,4.657294292,8.02872917022884
Fragment,0.00168307,0.111830014655198,0.00704337240949015,0.032906643,0.012,7.15423560751581e-05,0.0002,56.63006065,16.6059812450916,7.522195588,11.7832569568771
Fragment,0.001939073,0.0792132220091512,0.00884435509813176,0.03868472,0.0152,0.000113974778842291,0.0002,76.69989409,24.0238187497786,6.270825697,9.46703265821114
Fragment,0.002212588,0.148827730530593,0.00874729973054346,0.037160643,0.015,0.000111196715986039,0.0002,84.07075934,27.1116702149275,7.754318723,15.419077613465
Fragment,0.001817967,0.101895842990547,0.00801190149818022,0.037174721,0.0136,9.21722037581718e-05,0.0002,69.10268019,20.4034359584773,6.366489908,10.546884402489
Fragment,0.002582853,0.358169503538659,0.0102956279303245,0.06779661,0.0176,0.000153483247430216,0.0002,179.0477572,37.2506831051225,2.719526337,4.08019488822433
Fragment,0.001762887,0.112834350130696,0.00772640280408526,0.035735849,0.0132,8.6372784564634e-05,0.0002,64.4153994,19.0802268224101,6.680757556,11.2012759192266
Fragment,0.001474584,0.0657038766404651,0.00679286106574082,0.025247956,0.0116,6.67250781935108e-05,0.0002,38.06772521,14.031495512492,11.1950633,17.1947312036443
Fragment,0.002184712,0.14238330576472,0.00848340033737958,0.037735849,0.0146,0.000105033156732729,0.0002,84.29647367,25.9624616865969,7.424981092,11.533511266949
Fragment,0.002633403,0.592065410276255,0.0101257568852913,0.084388186,0.0174,0.00014937417462183,0.0002,227.2271198,37.3530900059567,1.789631179,2.35140860156369
Fragment,0.002795438,0.62987610365005,0.0105293435905961,0.101010101,0.018,0.000160536128598013,0.0002,288.7193467,41.2318550591473,1.325958076,2.66364062464557
Fragment,0.002720295,0.832775408553888,0.010177601024714,0.104712042,0.0174,0.00015000207319766,0.0002,291.2552583,38.7831551492315,1.200693646,2.10774969711645
