Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,1019.8,1054,0.00413395928558586,0.0502,0.000169443809766883,0.0002,5.85356258253256,32.591582601517
Fragment,0.001273567,0.0489875807777533,1023.6,1054,0.00385262872774218,0.0518,0.000162394134318619,0.0002,5.39263417590538,33.2178934618865
Fragment,0.001273567,0.0489875807777533,1027.4,1054,0.00355703053769031,0.0538,0.000155197779625972,0.0002,4.92241547750262,33.9547857174031
Fragment,0.001273567,0.0489875807777533,1035,1054,0.00290745398967233,0.059,0.000137844068495729,0.0002,3.93030279743135,35.9780724807994
Fragment,0.001273567,0.0489875807777533,1042.6,1054,0.0021342136694568,0.0672,0.000113469445559223,0.0002,2.8197239781388,39.6207426636165
Fragment,0.001273567,0.0489875807777533,1050.3,1054,0.00104705174069975,0.0842,6.72069567052441e-05,0.0002,1.35014316391656,52.0017856657349
Fragment,0.002097134,0.0898614867757904,1019.8,1054,0.00793151743905567,0.096,0.000620100787896369,0.0002,18.4933137734816,14.5778175562889
Fragment,0.002097134,0.0898614867757904,1023.6,1054,0.00739653639961497,0.0992,0.000595551567179802,0.0002,17.048123541217,14.8392746404299
Fragment,0.002097134,0.0898614867757904,1027.4,1054,0.00683495284033219,0.103,0.000569247306720213,0.0002,15.5750905539273,15.1421496648575
Fragment,0.002097134,0.0898614867757904,1035,1054,0.00560325332632608,0.1128,0.000505597053098873,0.0002,12.4726231687403,15.9492892193895
Fragment,0.002097134,0.0898614867757904,1042.6,1054,0.00414134682719315,0.129,0.000419837801921115,0.0002,9.00979038966754,17.3254607884423
Fragment,0.002097134,0.0898614867757904,1050.3,1054,0.00208780159065313,0.1656,0.000259106319416339,0.0002,4.43307712283137,21.5302680358134
Fragment,0.001939073,0.0792132220091512,1019.8,1370,0.0351649000853055,0.0692,0.00207696580992748,0.0002,98.5407303536557,7.04072867250776
Fragment,0.001939073,0.0792132220091512,1023.6,1370,0.0348402965627483,0.0692,0.00205718550468656,0.0002,96.5112548240257,7.06832213411759
Fragment,0.001939073,0.0792132220091512,1027.4,1370,0.0345169245244288,0.0692,0.00203746409022144,0.0002,94.5311812907733,7.09599068520187
Fragment,0.001939073,0.0792132220091512,1035,1370,0.0338703362029257,0.0694,0.0020047858609224,0.0002,90.6118475043922,7.15308091083318
Fragment,0.001939073,0.0792132220091512,1042.6,1370,0.0332284315893288,0.0696,0.00197207262177525,0.0002,86.8822103368936,7.21052241955291
Fragment,0.001939073,0.0792132220091512,1050.3,1370,0.0325766838191742,0.0696,0.00193199386885366,0.0002,83.1325054677402,7.27166230152375
Fiber,0.001204416,0.0840716054670816,1019.8,1432,0.0084201988412538,0.0138,9.85829166466575e-05,0.0002,15.3191103388875,89.7854861543532
Fiber,0.001204416,0.0840716054670816,1023.6,1432,0.00836215196141697,0.0138,9.78626940650642e-05,0.0002,15.0390008041743,89.8615332149112
Fiber,0.001204416,0.0840716054670816,1027.4,1432,0.00830416628028347,0.0138,9.71429015241367e-05,0.0002,14.7653530845317,89.9384103746239
Fiber,0.001204416,0.0840716054670816,1035,1432,0.00818833778602266,0.014,9.7340008812105e-05,0.0002,14.2221755704117,90.0990889822122
Fiber,0.001204416,0.0840716054670816,1042.6,1432,0.008072548206502,0.014,9.58775865273031e-05,0.0002,13.7036567992294,90.2633600777197
