Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,1019.8,1054,0.00192916089732294,0.0346,5.5829850030168e-05,0.0002,2.73163407381119,8.78594985693493
Fragment,0.001273567,0.0489875807777533,1023.6,1054,0.00169444460207199,0.0334,4.72060071003046e-05,0.0002,2.37176237733835,10.1190575537054
Fragment,0.001273567,0.0489875807777533,1027.4,1054,0.00146512767785549,0.0322,3.92499850426367e-05,0.0002,2.02752466743687,11.8370939626298
Fragment,0.001273567,0.0489875807777533,1035,1054,0.00102073805730125,0.0294,2.48278988820446e-05,0.0002,1.37983598581653,17.3933715649529
Fragment,0.001273567,0.0489875807777533,1042.6,1054,0.000596376116112993,0.0254,1.24697854919449e-05,0.0002,0.787932369967951,30.4594669730045
Fragment,0.001273567,0.0489875807777533,1050.3,1054,0.00018530716351918,0.0156,2.50064189806954e-06,0.0002,0.238948268098942,100.440150459941
Fragment,0.002097134,0.0898614867757904,1019.8,1054,0.00799970861027181,0.1448,0.00096282087743603,0.0002,18.6523099221469,1.28670390424424
Fragment,0.002097134,0.0898614867757904,1023.6,1054,0.00702657397284166,0.1402,0.000815964895841759,0.0002,16.1954048068689,1.48190182871014
Fragment,0.002097134,0.0898614867757904,1027.4,1054,0.0060756037563065,0.1354,0.000678690607554109,0.0002,13.8447302980448,1.73351155879066
Fragment,0.002097134,0.0898614867757904,1035,1054,0.00423240550202157,0.124,0.000428299494046,0.0002,9.42116942598251,2.54745445229026
Fragment,0.002097134,0.0898614867757904,1042.6,1054,0.00247265642154339,0.1088,0.000215735005184285,0.0002,5.37943741332832,4.46143307486701
Fragment,0.002097134,0.0898614867757904,1050.3,1054,0.000768045359275428,0.0784,4.66424418305041e-05,0.0002,1.63080837122821,14.7166279149799
Fragment,0.001939073,0.0792132220091512,1019.8,1370,0.0580345687554486,0.1808,0.00915547610108022,0.0002,162.627187253436,0.147576800689535
Fragment,0.001939073,0.0792132220091512,1023.6,1370,0.0567462722971148,0.1786,0.00884246002125142,0.0002,157.193092088548,0.152678464944762
Fragment,0.001939073,0.0792132220091512,1027.4,1370,0.0554869496185103,0.1762,0.00852749479692354,0.0002,151.961594664877,0.157934641663425
Fragment,0.001939073,0.0792132220091512,1035,1370,0.0529990821219113,0.1718,0.00793973405863895,0.0002,141.786155246034,0.169268994975949
Fragment,0.001939073,0.0792132220091512,1042.6,1370,0.0506236678995374,0.1674,0.00738650074112218,0.0002,132.365445857672,0.181316202612322
Fragment,0.001939073,0.0792132220091512,1050.3,1370,0.0482453643740165,0.1628,0.0068426294805285,0.0002,123.117443134447,0.194935822162838
Fiber,0.001204416,0.0840716054670816,1019.8,1432,0.0286341511892661,0.0802,0.00200780724025221,0.0002,52.0949362121522,0.460697368017921
Fiber,0.001204416,0.0840716054670816,1023.6,1432,0.0280446928943293,0.0792,0.00194169835256471,0.0002,50.4372751101227,0.475838552887708
Fiber,0.001204416,0.0840716054670816,1027.4,1432,0.0274685822256449,0.0782,0.00187747266367253,0.0002,48.8409434016408,0.491390999609433
Fiber,0.001204416,0.0840716054670816,1035,1432,0.0263281636047982,0.0762,0.00175292700365505,0.0002,45.7289104356604,0.524832097929984
Fiber,0.001204416,0.0840716054670816,1042.6,1432,0.0252394885225242,0.0744,0.00164055134469783,0.0002,42.845614501525,0.560150677711619
Fiber,0.001204416,0.0840716054670816,1050.3,1432,0.024146062548878,0.0724,0.00152669024432576,0.0002,40.0050784144909,0.599923833452769
Fiber,0.000643719,0.0290840491762431,1019.8,1432,0.00399227295134754,0.0108,3.76247790147499e-05,0.0002,3.88196159833215,6.1824413745647
Fiber,0.000643719,0.0290840491762431,1023.6,1432,0.00391021283822287,0.0108,3.69149140311274e-05,0.0002,3.75855695802652,6.38542937303297
Fiber,0.000643719,0.0290840491762431,1027.4,1432,0.00382984176005409,0.0106,3.54525915459448e-05,0.0002,3.63955630120665,6.59421039648241
Fiber,0.000643719,0.0290840491762431,1035,1432,0.0036709123770604,0.0104,3.33665281530996e-05,0.0002,3.40772166732214,7.04282871167107
Fiber,0.000643719,0.0290840491762431,1042.6,1432,0.00351900290146016,0.01,3.06890770098789e-05,0.0002,3.19275256804552,7.51702472662699
Fiber,0.000643719,0.0290840491762431,1050.3,1432,0.00336662821508548,0.0098,2.87954508843478e-05,0.0002,2.98114963373374,8.05058549508002
Fiber,0.001115229,0.105991518073727,1019.8,1432,0.0317365390972422,0.089,0.00246983996802717,0.0002,53.4636123898499,0.448903449041098
Fiber,0.001115229,0.105991518073727,1023.6,1432,0.0310831260825103,0.0878,0.002385710065156,0.0002,51.7622510748618,0.463658351436256
Fiber,0.001115229,0.105991518073727,1027.4,1432,0.0304447037837939,0.0868,0.00231010114278753,0.0002,50.1241580498253,0.478811035112911
Fiber,0.001115229,0.105991518073727,1035,1432,0.0291807437014035,0.0846,0.00215743447544301,0.0002,46.9303917785272,0.511395688177083
Fiber,0.001115229,0.105991518073727,1042.6,1432,0.0279739162755509,0.0824,0.00201348367877956,0.0002,43.9710295957313,0.545813919315865
Fiber,0.001115229,0.105991518073727,1050.3,1432,0.0267620401640707,0.0802,0.0018741366524466,0.0002,41.0558984740398,0.584568865669218
Film,0.001356902,0.0116751017316804,1019.8,1400,0.0101913652578307,0.0298,0.000265191365180285,0.0002,20.4221070269129,1.17519705328995
Film,0.001356902,0.0116751017316804,1023.6,1400,0.00997372745888506,0.0294,0.000255980260970903,0.0002,19.7567456006074,1.21477496775897
Film,0.001356902,0.0116751017316804,1027.4,1400,0.00976101727782878,0.029,0.000247039305374808,0.0002,19.1161251678851,1.25548456024549
Film,0.001356902,0.0116751017316804,1035,1400,0.00934052745159432,0.0284,0.000231605142969333,0.0002,17.8689350777166,1.34311305601693
Film,0.001356902,0.0116751017316804,1042.6,1400,0.008938862083011,0.0276,0.000215242265688219,0.0002,16.7134092258135,1.43597273756287
Film,0.001356902,0.0116751017316804,1050.3,1400,0.00853611960441369,0.0268,0.000199455593489717,0.0002,15.5770882505816,1.54072440329816
Film,0.000625814,0.00928665958310461,1019.8,1400,0.00211572686218481,0.006,1.10958164637758e-05,0.0002,1.95535030247242,12.2740155406699
Film,0.000625814,0.00928665958310461,1023.6,1400,0.00207046912080074,0.0058,1.04644181767851e-05,0.0002,1.89157454359824,12.68784256017
Film,0.000625814,0.00928665958310461,1027.4,1400,0.00202637787677459,0.0058,1.02600985352843e-05,0.0002,1.83029886845994,13.1126125976323
Film,0.000625814,0.00928665958310461,1035,1400,0.00193903448849302,0.0056,9.46655283890895e-06,0.0002,1.71084078664097,14.0281902251823
Film,0.000625814,0.00928665958310461,1042.6,1400,0.00185563742355796,0.0054,8.72179690736655e-06,0.0002,1.60019432088691,14.9981784629119
Film,0.000625814,0.00928665958310461,1050.3,1400,0.00177201394562482,0.0052,8.00756168194274e-06,0.0002,1.4913848122134,16.0924261823352
Film,0.001096891,0.00634608923266282,1019.8,1400,0.00394103845543176,0.0114,3.92567971323683e-05,0.0002,6.38401419555253,3.75939013680762
Film,0.001096891,0.00634608923266282,1023.6,1400,0.0038568451168734,0.0112,3.77140380610674e-05,0.0002,6.17596890086479,3.88602993072705
Film,0.001096891,0.00634608923266282,1027.4,1400,0.00377455597815207,0.011,3.62189174673659e-05,0.0002,5.97565677732338,4.01629492695698
Film,0.001096891,0.00634608923266282,1035,1400,0.00361198229027472,0.0108,3.40595394212872e-05,0.0002,5.58583203716658,4.29658461627751
Film,0.001096891,0.00634608923266282,1042.6,1400,0.00345659070296791,0.0104,3.13258398085705e-05,0.0002,5.22451232861894,4.59373018770237
Film,0.001096891,0.00634608923266282,1050.3,1400,0.00330095475929031,0.0102,2.93667360414654e-05,0.0002,4.86945494103918,4.92868304370801
