Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,1019.8,1054,0.00339774342610751,0.05475,0.000154601351522757,0.00015,4.81110296694426,12.3266304240475
Fragment,0.001273567,0.0489875807777533,1023.6,1054,0.00303738888930552,0.05385,0.000135463476752699,0.00015,4.25151975118647,13.6543414239251
Fragment,0.001273567,0.0489875807777533,1027.4,1054,0.0026792185209776,0.0531,0.00011744289055696,0.00015,3.70765068658515,15.2914943822179
Fragment,0.001273567,0.0489875807777533,1035,1054,0.00196286045992982,0.05115,8.21298766652417e-05,0.00015,2.65339915404784,20.16756641916
Fragment,0.001273567,0.0489875807777533,1042.6,1054,0.0012377757874353,0.0486,4.85870630574155e-05,0.00015,1.63534987960192,30.0985280552807
Fragment,0.001273567,0.0489875807777533,1050.3,1054,0.000455425440240108,0.04095,1.48198900180304e-05,0.00015,0.587258032160796,70.2284644145294
Fragment,0.002097134,0.0898614867757904,1019.8,1054,0.00813046879664724,0.1314,0.000885004535620452,0.00015,18.9571934673576,4.61391874834146
Fragment,0.002097134,0.0898614867757904,1023.6,1054,0.00726843369622946,0.1296,0.000777626226747725,0.00015,16.7528622736062,5.1107373546935
Fragment,0.002097134,0.0898614867757904,1027.4,1054,0.0064111086768005,0.12765,0.000672770898997219,0.00015,14.609259277257,5.72368204384854
Fragment,0.002097134,0.0898614867757904,1035,1054,0.00469710602432854,0.12345,0.000471648048802527,0.00015,10.4555746480023,7.54859080946123
Fragment,0.002097134,0.0898614867757904,1042.6,1054,0.00296156113323561,0.11745,0.000277873546494994,0.00015,6.44308389276439,11.2670213736242
Fragment,0.002097134,0.0898614867757904,1050.3,1054,0.00108961858255138,0.10245,8.55533558749649e-05,0.00015,2.31361219023182,26.2902565397663
Fragment,0.001939073,0.0792132220091512,1019.8,1370,0.0706647406571556,0.1944,0.0119394287858263,0.00015,198.020046629326,0.51357317791423
Fragment,0.001939073,0.0792132220091512,1023.6,1370,0.0692227710013636,0.1923,0.0115675216712966,0.00015,191.754294619896,0.527417820893961
Fragment,0.001939073,0.0792132220091512,1027.4,1370,0.0678103107985054,0.1902,0.0112054746497512,0.00015,185.71146971511,0.541576164161537
Fragment,0.001939073,0.0792132220091512,1035,1370,0.0650242355055404,0.186,0.0105035188636598,0.00015,173.956528698666,0.571680268188296
Fragment,0.001939073,0.0792132220091512,1042.6,1370,0.0623516859871344,0.18195,0.00984820728712752,0.00015,163.030634841456,0.603197447828611
Fragment,0.001939073,0.0792132220091512,1050.3,1370,0.0596840720259648,0.1779,0.00921357236448406,0.00015,152.307904376539,0.638121744766187
Fiber,0.001204416,0.0840716054670816,1019.8,1432,0.021845168298183,0.054,0.00102743895052844,0.00015,39.7435440469483,4.42353148319101
Fiber,0.001204416,0.0840716054670816,1023.6,1432,0.0214295144894621,0.0534,0.000996525243457027,0.00015,38.5401374104514,4.53749683393829
Fiber,0.001204416,0.0840716054670816,1027.4,1432,0.0210224027701772,0.0528,0.000966414441498714,0.00015,37.3792129288031,4.65377571351677
Fiber,0.001204416,0.0840716054670816,1035,1432,0.0202184333139943,0.0516,0.000907962340201492,0.00015,35.1170305701275,4.90044489426375
Fiber,0.001204416,0.0840716054670816,1042.6,1432,0.0194474816441496,0.05055,0.000855466749243224,0.00015,33.0133196164858,5.15739983113418
Fiber,0.001204416,0.0840716054670816,1050.3,1432,0.0186762902946217,0.04935,0.000801648283719027,0.00015,30.9427864777421,5.44129867843909
Fiber,0.000643719,0.0290840491762431,1019.8,1432,0.0089657660284874,0.02205,0.000172201611232687,0.00015,8.7180310180122,8.53399996632472
Fiber,0.000643719,0.0290840491762431,1023.6,1432,0.00879512485333188,0.02175,0.000166539832157802,0.00015,8.45400981528832,8.75390392960936
Fiber,0.000643719,0.0290840491762431,1027.4,1432,0.00862798848675721,0.02145,0.000161030887819968,0.00015,8.19930739469302,8.97827566682902
Fiber,0.000643719,0.0290840491762431,1035,1432,0.00829806756544354,0.021,0.000151608249778055,0.00015,7.70312710713873,9.45412032044947
Fiber,0.000643719,0.0290840491762431,1042.6,1432,0.00798163785329715,0.02055,0.000142667793264332,0.00015,7.24165210058503,9.94986283528163
Fiber,0.000643719,0.0290840491762431,1050.3,1432,0.0076651692212739,0.0201,0.000133988373368484,0.00015,6.78750814067173,10.4975222445036
Fiber,0.001115229,0.105991518073727,1019.8,1432,0.0256843510141882,0.06345,0.00141915457573955,0.00015,43.2680508388115,3.37962622996392
Fiber,0.001115229,0.105991518073727,1023.6,1432,0.0251957491616135,0.06285,0.00137909742197866,0.00015,41.9580929749699,3.46668549065295
Fiber,0.001115229,0.105991518073727,1027.4,1432,0.0247170436466549,0.0621,0.00133634125191616,0.00015,40.6941388251854,3.5555287574665
Fiber,0.001115229,0.105991518073727,1035,1432,0.0237718356005397,0.06075,0.00125696797877026,0.00015,38.2314299266612,3.74397888795678
Fiber,0.001115229,0.105991518073727,1042.6,1432,0.0228652761234348,0.0594,0.00118168661149897,0.00015,35.9409716978686,3.94031055266972
Fiber,0.001115229,0.105991518073727,1050.3,1432,0.021958606548509,0.05805,0.00110865866008874,0.00015,33.6869056155635,4.15720385116785
Film,0.001356902,0.0116751017316804,1019.8,1400,0.0326008918607108,0.0849,0.00240811711063585,0.00015,65.3277442137291,0.945780164164368
Film,0.001356902,0.0116751017316804,1023.6,1400,0.0319592522114256,0.084,0.00233543371822622,0.00015,63.3074061958946,0.970682438946532
Film,0.001356902,0.0116751017316804,1027.4,1400,0.0313307748807132,0.0831,0.00226464487948387,0.00015,61.358667562954,0.996117909560233
Film,0.001356902,0.0116751017316804,1035,1400,0.0300903757653015,0.0813,0.00212725341447491,0.00015,57.5645191131569,1.05013314013915
Film,0.001356902,0.0116751017316804,1042.6,1400,0.0289005891784195,0.0795,0.00199703351598463,0.00015,54.0367855908722,1.1065383449907
Film,0.001356902,0.0116751017316804,1050.3,1400,0.0277118230762502,0.0777,0.00187083143596566,0.00015,50.5697592873526,1.16893824203917
Film,0.000625814,0.00928665958310461,1019.8,1400,0.00973487569538579,0.0252,0.000213446614834125,0.00015,8.99695157996312,4.82154320830216
Film,0.000625814,0.00928665958310461,1023.6,1400,0.00954325054501651,0.0249,0.000206695146066621,0.00015,8.71868583442184,4.94850527410272
Film,0.000625814,0.00928665958310461,1027.4,1400,0.00935555575572207,0.0246,0.000200123771203633,0.00015,8.45028131710932,5.0781866205602
Film,0.000625814,0.00928665958310461,1035,1400,0.00898510912074809,0.024,0.000187388066250391,0.00015,7.9277038378737,5.35358269040955
Film,0.000625814,0.00928665958310461,1042.6,1400,0.00862992029917935,0.02355,0.000176627605862538,0.00015,7.44194381786898,5.64108995959429
Film,0.000625814,0.00928665958310461,1050.3,1400,0.00827489199603593,0.02295,0.000164921821025325,0.00015,6.96441936930848,5.95923461087556
Film,0.001096891,0.00634608923266282,1019.8,1400,0.0223229524670058,0.05805,0.00112740615453844,0.00015,36.1605315572586,1.19827265431103
Film,0.001096891,0.00634608923266282,1023.6,1400,0.0218836166570114,0.05745,0.00109371903192815,0.00015,35.0422513263152,1.22982223769155
Film,0.001096891,0.00634608923266282,1027.4,1400,0.0214532934936233,0.05685,0.00106090547026079,0.00015,33.9636024483706,1.26204729136383
Film,0.001096891,0.00634608923266282,1035,1400,0.020603837009227,0.0555,0.000994108251853822,0.00015,31.863271634686,1.3304886793534
Film,0.001096891,0.00634608923266282,1042.6,1400,0.0197891833370874,0.0543,0.00093383164697226,0.00015,29.9106377359465,1.40195064319465
Film,0.001096891,0.00634608923266282,1050.3,1400,0.0189752283803964,0.0531,0.000875385645051085,0.00015,27.9916043484745,1.48100734353406
