Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,1019.8,1054,0.00226587439613422,0.0364,6.87363051089491e-05,0.0001,3.20841030732362,17.2350179054795
Fragment,0.001273567,0.0489875807777533,1023.6,1054,0.00202557561675256,0.0358,6.02533277024399e-05,0.0001,2.83525589115927,19.0913129885185
Fragment,0.001273567,0.0489875807777533,1027.4,1054,0.00178673719879,0.0353,5.22674097018013e-05,0.0001,2.47258569988676,21.3801752678682
Fragment,0.001273567,0.0489875807777533,1035,1054,0.00130907096639537,0.034,3.66211099754457e-05,0.0001,1.76960505636057,28.1966342388606
Fragment,0.001273567,0.0489875807777533,1042.6,1054,0.000825370955093368,0.032,2.15195222137692e-05,0.0001,1.09048044544127,42.086625129929
Fragment,0.001273567,0.0489875807777533,1050.3,1054,0.00030372947376283,0.0261,6.49495042372129e-06,0.0001,0.391650437834907,98.1884377753879
Fragment,0.002097134,0.0898614867757904,1019.8,1054,0.00530900571619845,0.0857,0.000377383557488601,0.0001,12.3786033743569,6.56455291212385
Fragment,0.002097134,0.0898614867757904,1023.6,1054,0.00474610745199894,0.0845,0.000331542677606928,0.0001,10.9392047588356,7.27142443483213
Fragment,0.002097134,0.0898614867757904,1027.4,1054,0.00418628665054303,0.0832,0.000286797469466763,0.0001,9.53946503948897,8.14352033375481
Fragment,0.002097134,0.0898614867757904,1035,1054,0.00306708530395923,0.0804,0.000201050723776301,0.0001,6.82721215600426,10.7399644456615
Fragment,0.002097134,0.0898614867757904,1042.6,1054,0.00193387072894067,0.0764,0.000118535265913174,0.0001,4.20727136255771,16.0301200109666
Fragment,0.002097134,0.0898614867757904,1050.3,1054,0.000711488918962616,0.0658,3.63847228668698e-05,0.0001,1.51072078109419,37.4053149718618
Fragment,0.001939073,0.0792132220091512,1019.8,1370,0.0467935195246269,0.1287,0.00523462926290434,0.0001,131.12699250073,0.722275936565129
Fragment,0.001939073,0.0792132220091512,1023.6,1370,0.0458386514486967,0.1273,0.00507114088219528,0.0001,126.977844829398,0.741746808610177
Fragment,0.001939073,0.0792132220091512,1027.4,1370,0.0449033242265313,0.1259,0.00491199325053354,0.0001,122.976317893341,0.76165887316296
Fragment,0.001939073,0.0792132220091512,1035,1370,0.0430584920464024,0.1232,0.00460776235469444,0.0001,115.192523974435,0.803995285678043
Fragment,0.001939073,0.0792132220091512,1042.6,1370,0.0412887369896765,0.1205,0.00431959308406692,0.0001,107.957449692985,0.848320439617851
Fragment,0.001939073,0.0792132220091512,1050.3,1370,0.0395222501295517,0.1178,0.00404055429133486,0.0001,100.856910213142,0.897437326485299
Fiber,0.001204416,0.0840716054670816,1019.8,1432,0.0130676094344288,0.0323,0.00036779988440712,0.0001,23.7742783235382,6.76688458685643
Fiber,0.001204416,0.0840716054670816,1023.6,1432,0.0128189296450951,0.0319,0.000356210151725404,0.0001,23.0543398554278,6.94124018998213
Fiber,0.001204416,0.0840716054670816,1027.4,1432,0.0125753591282405,0.0315,0.00034492776163911,0.0001,22.3598145107134,7.11913674584191
Fiber,0.001204416,0.0840716054670816,1035,1432,0.0120944500191053,0.0308,0.00032426461096224,0.0001,21.006631149597,7.49647187776601
Fiber,0.001204416,0.0840716054670816,1042.6,1432,0.0116333019759462,0.0302,0.000305834415727862,0.0001,19.7482596129635,7.88953441005214
Fiber,0.001204416,0.0840716054670816,1050.3,1432,0.0111720003264136,0.0295,0.000286790087110703,0.0001,18.5097155364431,8.32381780083687
Fiber,0.000643719,0.0290840491762431,1019.8,1432,0.00599828978801804,0.0147,7.68353598204954e-05,0.0001,5.83254975211409,11.9005241475993
Fiber,0.000643719,0.0290840491762431,1023.6,1432,0.00588412643271328,0.0145,7.43105710168995e-05,0.0001,5.65591318441724,12.2071779329861
Fiber,0.000643719,0.0290840491762431,1027.4,1432,0.00577240383325494,0.0144,7.24311653825164e-05,0.0001,5.48560229395371,12.5198898784199
Fiber,0.000643719,0.0290840491762431,1035,1432,0.00555167867503209,0.0141,6.82072412813901e-05,0.0001,5.153644044772,13.1834333632577
Fiber,0.000643719,0.0290840491762431,1042.6,1432,0.00533988576645821,0.0137,6.36651964042511e-05,0.0001,4.84481953307141,13.874924389127
Fiber,0.000643719,0.0290840491762431,1050.3,1432,0.00512816170106819,0.0134,5.97946739906112e-05,0.0001,4.54098771832419,14.6386262128382
Fiber,0.001115229,0.105991518073727,1019.8,1432,0.0157938330193073,0.039,0.000536566022345579,0.0001,26.6064098579556,5.05334277996438
Fiber,0.001115229,0.105991518073727,1023.6,1432,0.015493351758349,0.0386,0.000520941305876309,0.0001,25.800840030632,5.18352532203896
