ID,Shape,ParticleDensity,ParticleSize,a,b,c,Flatness,elongation,Sphericity,Dellino,Circularity,DynamicViscosity,FluidDensity,KinematicViscosity,Powers
FC_06,Fragment,1054,0.001273567,0.006322,0.002065,0.000177,0.085714286,0.32663714,0.242704561,0.109217053,0.45,0.000948,1019.8,9.29594038046676e-07,1.14
FC_06,Fragment,1054,0.001273567,0.006322,0.002065,0.000177,0.085714286,0.32663714,0.242704561,0.109217053,0.45,0.000959,1023.6,9.36889409925752e-07,1.14
FC_06,Fragment,1054,0.001273567,0.006322,0.002065,0.000177,0.085714286,0.32663714,0.242704561,0.109217053,0.45,0.00097,1027.4,9.44130815651158e-07,1.14
FC_06,Fragment,1054,0.001273567,0.006322,0.002065,0.000177,0.085714286,0.32663714,0.242704561,0.109217053,0.45,0.000993,1035,9.59420289855072e-07,1.14
FC_06,Fragment,1054,0.001273567,0.006322,0.002065,0.000177,0.085714286,0.32663714,0.242704561,0.109217053,0.45,0.001016,1042.6,9.74486859773643e-07,1.14
FC_06,Fragment,1054,0.001273567,0.006322,0.002065,0.000177,0.085714286,0.32663714,0.242704561,0.109217053,0.45,0.001041,1050.3,9.91145387032277e-07,1.14
FC_13,Fragment,1054,0.002097134,0.00882,0.00256,0.000427,0.166796875,0.290249433,0.371212766,0.17855334,0.481,0.000948,1019.8,9.29594038046676e-07,1.2
FC_13,Fragment,1054,0.002097134,0.00882,0.00256,0.000427,0.166796875,0.290249433,0.371212766,0.17855334,0.481,0.000959,1023.6,9.36889409925752e-07,1.2
FC_13,Fragment,1054,0.002097134,0.00882,0.00256,0.000427,0.166796875,0.290249433,0.371212766,0.17855334,0.481,0.00097,1027.4,9.44130815651158e-07,1.2
FC_13,Fragment,1054,0.002097134,0.00882,0.00256,0.000427,0.166796875,0.290249433,0.371212766,0.17855334,0.481,0.000993,1035,9.59420289855072e-07,1.2
FC_13,Fragment,1054,0.002097134,0.00882,0.00256,0.000427,0.166796875,0.290249433,0.371212766,0.17855334,0.481,0.001016,1042.6,9.74486859773643e-07,1.2
FC_13,Fragment,1054,0.002097134,0.00882,0.00256,0.000427,0.166796875,0.290249433,0.371212766,0.17855334,0.481,0.001041,1050.3,9.91145387032277e-07,1.2
BB_11,Fragment,1370,0.001939073,0.006087,0.003901,0.000386,0.098948987,0.640873994,0.306779116,0.243275839,0.793,0.000948,1019.8,9.29594038046676e-07,2.04
