Shape,ESD,CSF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.59630211339835,0.040572985,1.774,0.000475501056699179,0.0005,70.56401359,1420.80090588749,5.000583972,4.0692787935034
Fragment,0.002086938,0.314547798915943,0.897666374943607,0.056497175,2.671,0.000715883187471797,0.0005,120.5583645,2624.25610919542,3.164211244,1.38549534709228
Fragment,0.000996582,0.0977562885497524,0.204702507553269,0.01843318,0.6085,0.000163151253776636,0.0005,18.78341076,285.770841619591,14.19456233,7.93789395500389
Fragment,0.001368883,0.217466712599566,0.386214636454101,0.033613445,1.1485,0.000307907318227053,0.0005,47.04791549,740.588170516035,5.863401305,4.2759904019311
Fragment,0.00194646,0.110425679175415,0.780884729531317,0.039215686,2.3235,0.000622742364765664,0.0005,78.04884112,2129.18856869288,6.125412255,3.44572544422499
Fragment,0.001837442,0.614153320087042,0.695861840835534,0.056497175,2.07,0.000554880920417772,0.0005,106.1454753,1791.09397586041,2.785926202,1.3885650974174
Fragment,0.001903832,0.607812939702285,0.747055807818694,0.05988024,2.2225,0.000595727903909352,0.0005,116.5663892,1992.33966381818,2.569632877,1.28054713115504
Fragment,0.002284278,0.737568823367241,1.07545848185362,0.089686099,3.2,0.000857679240926778,0.0005,209.476473,3441.31413651936,1.374384276,0.640829293260775
Fragment,0.001596692,0.133253919503848,0.525458314864137,0.040733198,1.563,0.000418979157432072,0.0005,66.50141243,1175.27941729811,4.657294292,3.23341434437744
Fragment,0.00168307,0.111830014655198,0.583848860826833,0.032906643,1.737,0.00046557443041342,0.0005,56.63006065,1376.52571370429,7.522195588,5.47572832666298
Fragment,0.001939073,0.0792132220091512,0.774968527918592,0.03868472,2.3055,0.000617984263959301,0.0005,76.69989409,2105.03798693381,6.270825697,4.33808866109402
Fragment,0.002212588,0.148827730530593,1.00901298239833,0.037160643,3.002,0.000804656491199139,0.0005,84.07075934,3127.3682238009,7.754318723,8.62823821168467
Fragment,0.001817967,0.101895842990547,0.681189348417129,0.037174721,2.0265,0.000543194674208569,0.0005,69.10268019,1734.74464821898,6.366489908,4.88815065914406
Fragment,0.002582853,0.358169503538659,1.37497586117951,0.06779661,4.0915,0.00109658793058967,0.0005,179.0477572,4974.80973755199,2.719526337,1.55347176471798
Fragment,0.001762887,0.112834350130696,0.640537890502978,0.035735849,1.9055,0.000510768945251493,0.0005,64.4153994,1581.79796588949,6.680757556,5.25704405754683
Fragment,0.001474584,0.0657038766404651,0.448162117657758,0.025247956,1.333,0.000357331058828882,0.0005,38.06772521,925.734338141942,11.1950633,9.25784916889313
Fragment,0.002184712,0.14238330576472,0.983748599964334,0.037735849,2.927,0.000784524299982147,0.0005,84.29647367,3010.64836269492,7.424981092,5.61616724334732
Fragment,0.002633403,0.592065410276255,1.42932260404181,0.084388186,4.253,0.00113991130202082,0.0005,227.2271198,5272.65432906809,1.789631179,0.85877614298831
Fragment,0.002795438,0.62987610365005,1.61062817602578,0.101010101,4.7925,0.00128451408801278,0.0005,288.7193467,6307.05864393909,1.325958076,0.992978173955275
Fragment,0.002720295,0.832775408553888,1.52520298293712,0.104712042,4.5385,0.00121640149146846,0.0005,291.2552583,5811.99673456281,1.200693646,0.765873147598296
Fragment,0.001862402,0.331932435701896,0.250249517755306,0.035273369,1.1125,0.000236324758877655,0.0005,42.43468715,362.791555726022,4.014904573,2.28337604369171
Fragment,0.001823016,0.288073635876191,0.239777021079061,0.035971223,1.066,0.000226438510539533,0.0005,42.35905822,340.258146572536,3.778989772,2.1171014980815
Fragment,0.001589028,0.244162329384844,0.182175312831387,0.027020681,0.8095,0.000171987656415695,0.0005,27.7350146,225.336510788174,5.837603088,2.54434405258851
Fragment,0.001887135,0.281534172714555,0.256940079135646,0.035898305,1.142,0.000242620039567826,0.0005,43.76003465,377.437732346807,3.927813493,1.55603687466366
Fragment,0.001762689,0.227494364831381,0.224170233248729,0.029895366,0.9965,0.000211685116624366,0.0005,34.03926738,307.584275445438,5.290096612,2.63881820591803
Fragment,0.002326884,0.357770418917705,0.390638327720994,0.045045045,1.7365,0.000368919163860501,0.0005,67.70525074,707.554792299119,3.075929004,1.41216936075388
Fragment,0.001572976,0.151910544045107,0.178513614901646,0.023557126,0.7935,0.000168556807450825,0.0005,23.93563716,218.576733917974,7.602792007,5.03135951865823
Fragment,0.001931166,0.203758372039665,0.269069927225472,0.028409091,1.196,0.000254084963612739,0.0005,35.43868486,404.478330103395,6.41801341,2.57943629363767
Fragment,0.002105099,0.254068514462169,0.319720971002437,0.033167496,1.4215,0.000301960485501221,0.0005,45.1009592,523.906925684479,5.132663125,2.6610710708558
Fragment,0.001903886,0.198345794339446,0.261521849659088,0.030769231,1.1625,0.000246960924829546,0.0005,37.84061887,387.578261998005,5.393905662,2.77693628632342
Fragment,0.003009733,0.194618364326994,0.653553584046932,0.040241449,2.906,0.000617326792023447,0.0005,78.23520109,1531.15678110708,4.985129165,2.0753231732086
Fragment,0.00252976,0.146375397879432,0.461725916450025,0.035735849,2.053,0.000436112958225017,0.0005,58.39612919,909.230644470548,5.31332986,4.15904597671715
Fragment,0.003482348,0.155076239361521,0.874922239563976,0.046082949,3.8905,0.000826461119781918,0.0005,103.6604469,2371.65829351454,4.398324944,1.95199940901318
Fragment,0.002552543,0.15210265891292,0.470079796062388,0.033900369,2.09,0.000443989898031199,0.0005,55.89565457,934.017780884884,5.957441725,4.79169981180457
Fragment,0.00305554,0.139544326572798,0.673598475937607,0.04,2.995,0.00063624923796878,0.0005,78.94936371,1602.13666965037,5.122284464,3.02867915655434
Fragment,0.002679545,0.262446090574843,0.518021438490249,0.0456621,2.3035,0.00048931071924513,0.0005,79.03464949,1080.48633780882,3.447028777,1.45933014171033
Fragment,0.002894656,0.107976997051811,0.604531919775608,0.038910506,2.688,0.000571015959887797,0.0005,72.75526401,1362.15549896077,5.128127612,2.35123858287864
Fragment,0.002893857,0.156845720807416,0.60419821742261,0.03649635,2.6865,0.000570699108711298,0.0005,68.22243129,1361.02780483557,5.827387715,3.44988222409554
Fragment,0.002787807,0.184092479996992,0.560725922967478,0.043103448,2.493,0.000529612961483742,0.0005,77.62031085,1216.8129695666,4.024707892,1.82966266284626
Fragment,0.002904201,0.246427092654357,0.608525561397269,0.04784689,2.706,0.000574812780698626,0.0005,89.75962839,1375.67545202502,3.402631649,1.57193517571464
Fragment,0.001740289,0.254488461543747,0.219858486797955,0.03327787,0.973,0.000207179243398979,0.0005,37.4091264,298.147418432512,4.241101031,2.46637783664141
Fragment,0.001925098,0.257537815659095,0.269032938317682,0.040968577,1.1905,0.000253516469158844,0.0005,50.94532483,403.575451536784,3.095418183,1.02973718729831
Fragment,0.001806142,0.187543972882726,0.236812167386889,0.027390244,1.048,0.000223156083693446,0.0005,31.95570988,333.29004967453,6.497232288,2.63095046041998
Fragment,0.001619626,0.214639328769005,0.190427569569856,0.026075619,0.8425,0.00017941378478493,0.0005,27.28035675,240.33167210214,6.428561056,2.91496583653294
Fragment,0.00167143,0.202405190566132,0.202804250012802,0.027777778,0.8975,0.000191102125006403,0.0005,29.99067677,264.138488586877,5.846034733,3.96051730290301
Fragment,0.001826392,0.253169666550495,0.242151926780188,0.033167496,1.0715,0.000228175963390096,0.0005,39.12977386,344.626261478898,4.480607591,1.93213434157953
Fragment,0.001937634,0.248310434563996,0.272548091318929,0.03649635,1.206,0.000256824045659467,0.0005,45.67954529,411.510892314842,3.925916726,1.71560398783912
Fragment,0.001899524,0.234553828848177,0.261932428614308,0.035523979,1.159,0.000246816214307157,0.0005,43.58801544,387.704193465414,4.062280579,2.21909480355064
Fragment,0.002021166,0.195021366732895,0.296554037596147,0.037243948,1.3125,0.000279477018798076,0.0005,48.62484634,467.059563261085,3.932409484,2.4578521489054
Fragment,0.002182857,0.265850343081488,0.345899774405079,0.034843206,1.531,0.000325999887202543,0.0005,49.1296891,588.358467618312,4.85240821,2.68007410001873
Fragment,0.002329768,0.130855256526302,0.394025951446275,0.034482759,1.744,0.000371362975723141,0.0005,51.89377308,715.325893184938,5.287822458,3.33368310781684
Fragment,0.002117852,0.134588424310743,0.325604803896909,0.029368576,1.441,0.000306852401948457,0.0005,40.1771498,537.344557842167,6.626711992,3.00456759979928
Fragment,0.002273014,0.16659260114386,0.375062547112851,0.034467532,1.66,0.000353481273556429,0.0005,50.60726401,664.31223769534,5.163568008,2.20014068877745
Fragment,0.002436774,0.199939784530085,0.431052296515079,0.03968254,1.908,0.000406276148257544,0.0005,62.46191836,818.486760781021,4.176231488,2.33626633295512
Fragment,0.002423198,0.134230751103771,0.426262848567631,0.034013605,1.887,0.000401781424283819,0.0005,53.24051475,804.883136437928,5.65264693,2.70175716517452
Fragment,0.00226653,0.118843000909657,0.372925757448586,0.027855153,1.6505,0.000351462878724297,0.0005,40.78192505,658.643326598149,7.88349308,3.52522311840247
Fragment,0.002482053,0.122707246316342,0.447220234701935,0.031397174,1.9795,0.000421510117350972,0.0005,50.33872398,864.965806964938,6.795135721,3.42813457691103
Fragment,0.002614716,0.151271901409957,0.496304790026917,0.044345898,2.197,0.000467802395013463,0.0005,74.89943331,1011.20552724293,3.588275612,1.78933295220812
Fragment,0.00251205,0.163366798250134,0.458095698826652,0.044345898,2.028,0.000431797849413331,0.0005,71.95855078,896.707778517031,3.447384064,2.24602775865661
Fragment,0.002440144,0.143672938321042,0.43224560544263,0.040194093,1.9135,0.000407422802721319,0.0005,63.35463015,821.887709874721,4.07623571,3.71919458787235
Fragment,0.001413932,0.0945662100959202,0.060041147045582,0.00773589,0.744,0.000104370573522792,0.0005,11.18407026,91.4911865819779,16.68819577,5.56919370731625
Fragment,0.001553735,0.0879068192107053,0.0725011459609707,0.013368984,0.8985,0.000126050572980487,0.0005,21.23912323,121.401366761484,6.140188967,5.01316680404438
Fragment,0.001254669,0.0443114415037606,0.0472769730497018,0.007533333,0.5855,8.21384865248519e-05,0.0005,9.664456105,63.9264498305299,15.61551181,12.9291327081479
Fragment,0.001543662,0.0793352663891255,0.0715642587443564,0.008774576,0.887,0.00012443212937218,0.0005,13.84967451,119.055687349744,14.16124594,6.23727458243123
Fragment,0.001756348,0.0722279299163795,0.0926424315720922,0.010498688,1.148,0.000161071215786048,0.0005,18.85414369,175.356662857615,11.25491253,7.95887669153465
Fragment,0.001273567,0.0489875807777533,0.0487120739132594,0.005050505,0.6035,8.46560369566307e-05,0.0005,6.576848346,66.8590456939799,35.26580137,22.2568040142503
Fragment,0.001340718,0.0683668199216447,0.0539843982843766,0.008067769,0.669,9.38421991421895e-05,0.0005,11.05992249,78.0023094498779,14.54896286,9.80217125577943
Fragment,0.001460707,0.113655451426952,0.0640792348050176,0.009458571,0.794,0.00011138961740251,0.0005,14.12699412,100.874683152747,11.53223488,4.48277401986879
Fragment,0.001401742,0.082059449697783,0.0590101340376441,0.012746973,0.731,0.000102555067018823,0.0005,18.26990611,89.1448879393966,6.093341488,5.16427231280407
Fragment,0.001333964,0.0403310903939104,0.053441601881858,0.007447366,0.662,9.28708009409302e-05,0.0005,10.1579917,76.8290269482804,16.98791773,16.2882212537419
Fragment,0.001861531,0.107220069443889,0.104071135571737,0.008333333,1.29,0.000180985567785871,0.0005,15.86171543,208.786455936482,18.93364591,9.37151998938173
Fragment,0.001665586,0.0456315373804487,0.0833151577491008,0.011255167,1.0325,0.000144857578874552,0.0005,19.16814518,149.552211240048,9.286767251,8.13845130995447
Fragment,0.002097134,0.0898614867757904,0.132081498765846,0.009708738,1.6375,0.000229740749382926,0.0005,20.81853206,298.517589296303,15.71455677,9.1706796385704
Fragment,0.001676401,0.0558038712491293,0.0844006676697707,0.011342228,1.046,0.000146750333834887,0.0005,19.44184885,152.484447158603,9.204130848,8.25516089089555
Fragment,0.001678548,0.0704714414095899,0.0846168095184087,0.007246084,1.0485,0.000147108404759206,0.0005,12.4365035,153.070734875476,22.58023595,8.00909693568309
Fragment,0.001949671,0.0512871107064204,0.114159421430858,0.009470987,1.415,0.000198529710715432,0.0005,18.88068462,239.869399039785,15.35226269,6.91542012596892
Fragment,0.001758304,0.105668657626454,0.0928493311636607,0.016420361,1.151,0.000161474665581833,0.0005,29.52146189,175.944015647278,4.606065359,3.27627837452287
Fragment,0.001528301,0.0483983615783228,0.0701471612798402,0.008992806,0.8695,0.000121973580639922,0.0005,14.05288058,115.536911528244,13.34811919,8.25219872629418
Fragment,0.001854533,0.0726679034915195,0.103290332590703,0.010557071,1.2805,0.000179645166295354,0.0005,20.01884723,206.441020665069,11.75300968,9.82943975662585
Fragment,0.002125587,0.0753086317329911,0.135689591677517,0.015029496,1.682,0.000235994795838762,0.0005,32.66513317,310.833040734878,6.646477893,7.38020917027438
Fiber,0.001013252,0.160892412530852,0.247075945658587,0.023337223,0.6665,0.000190137972829295,0.0005,24.1784231,366.565931289909,10.51261591,8.32721671561638
Fiber,0.001115229,0.105991518073727,0.299311924974905,0.020833333,0.808,0.000230405962487454,0.0005,23.75657386,488.756152484523,14.51903878,19.6796464323528
Fiber,0.000953507,0.0264258750482728,0.218798429616473,0.019379845,0.5905,0.000168399214808238,0.0005,18.89449762,305.472591630824,14.34547059,298.531152761898
Fiber,0.001606718,0.0610131429322852,0.621261367892146,0.022075055,1.6775,0.000478330683946077,0.0005,36.26623957,1461.56512251085,18.63062729,100.999162902009
Fiber,0.001139708,0.0804426690196195,0.312595349592909,0.01552795,0.8435,0.000240597674796456,0.0005,18.09543624,521.651274471955,26.70896168,139.419811314675
Fiber,0.00127934,0.0906309833697501,0.393883291010763,0.024479804,1.0635,0.000303241645505384,0.0005,32.02248924,737.832362080868,12.06317468,10.3743953596102
Fiber,0.001166456,0.0384028262485808,0.327440602486218,0.015686275,0.884,0.000252070301243111,0.0005,18.70894923,559.248792793832,26.78676757,42.5060300060891
Fiber,0.001132822,0.101822681080993,0.308829601839522,0.019029496,0.8335,0.000237714800919762,0.0005,22.04195158,512.253293509154,17.67659252,10.6748283703354
Fiber,0.00139375,0.0650769201262723,0.467481997546688,0.021762786,1.262,0.000359890998773347,0.0005,31.01418897,954.012213500571,16.62827972,27.346456995267
Fiber,0.000849713,0.0530229679737175,0.17375633641594,0.007996801,0.4685,0.000133678168207971,0.0005,6.94783527,216.180778743678,75.08115532,60.5866015114667
Fiber,0.001122332,0.143028233943849,0.30313641587959,0.015686275,0.818,0.000233318207939797,0.0005,18.00123761,498.153998227795,25.77349278,184.868919805067
Fiber,0.001254411,0.0965182890396402,0.378682664208688,0.024783147,1.0225,0.000291541332104346,0.0005,31.78759208,695.535723592561,11.54033973,16.4031836686261
Fiber,0.000643719,0.0290840491762431,0.0997217707839517,0.010559662,0.2685,7.66608853919761e-05,0.0005,6.950359757,93.9919095586271,32.62027119,58.987510266949
Fiber,0.000943625,0.0200220957343447,0.214286454043824,0.013333333,0.578,0.000164893227021913,0.0005,12.86469571,296.072669777355,29.99256812,605.482514467207
Fiber,0.00116318,0.119379934430812,0.325603913981435,0.018796992,0.879,0.000250651956990719,0.0005,22.3561133,554.549995574819,18.60208157,14.7776704525996
Fiber,0.001431618,0.0439150290920783,0.493230345282031,0.017761989,1.332,0.000379765172641018,0.0005,26.00038411,1033.90610912804,25.6410198,71.7476535781463
Fiber,0.0014051,0.0436389604120962,0.475127212561343,0.020639835,1.283,0.000365813606280674,0.0005,29.65340679,977.510209408751,18.63744115,48.1652294730477
Fiber,0.001228451,0.0385709927742405,0.363171139682346,0.018198362,0.9805,0.000279585569841175,0.0005,22.85868108,653.2408425259,20.9596779,65.6986013517693
Fiber,0.001204416,0.0840716054670816,0.3490991159693,0.020408163,0.9425,0.000268749557984652,0.0005,25.13284292,615.643684202955,16.34030666,94.6553824606328
Fiber,0.001078273,0.045175818450955,0.279803412811443,0.017777778,0.755,0.000215351706405723,0.0005,19.6005093,441.759503446181,19.27814676,144.744043091908
Film,0.00130241,0.048169199186071,0.120871618332118,0.01532567,0.5415,0.00011453580916606,0.0005,12.89341394,122.283879158084,14.68958325,9.6207274470246
Film,0.000945978,0.0223643536534301,0.0637667602167589,0.008028904,0.2855,6.03833801083797e-05,0.0005,4.906118905,46.8567904182443,38.87489834,24.4669810357942
Film,0.001036934,0.0185341882204163,0.0766183276379597,0.009560229,0.343,7.25591638189803e-05,0.0005,6.40353938,61.7136071164294,30.05488976,24.8725264312222
Film,0.001172154,0.0275033743897306,0.0979036703043903,0.010012931,0.4385,9.27518351521958e-05,0.0005,7.581350708,89.141676062039,30.9715526,24.4618067748678
Film,0.001073998,0.0251990279684804,0.0821934214003291,0.009225092,0.368,7.7846710700165e-05,0.0005,6.399926463,68.5705573894155,33.43203644,21.8582013873232
Film,0.000938224,0.0213265269533733,0.0627258583662074,0.008853475,0.281,5.9412929183104e-05,0.0005,5.365632754,45.7141132075125,31.70878865,27.6972091765943
Film,0.001010671,0.0183347474356736,0.0727865913943411,0.009157509,0.326,6.89432956971709e-05,0.0005,5.978440055,57.1423812392106,31.92682966,21.0107143401495
