Shape,ESD,CSF,Wt,Initial_W,Time,Distance,Timestep,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001273567,0.0489875807777533,0.00295578717688842,5e-06,0.0366,9.10034690958266e-05,0.0001,4.05692252547414,5.91581422846992,0
Fragment,0.001273567,0.0489875807777533,0.00295579685229605,1e-05,0.0366,9.1032874955263e-05,0.0001,4.05693580531357,5.91579486383935,0
Fragment,0.001273567,0.0489875807777533,0.0029557769897484,5e-05,0.0365,9.09725344051987e-05,0.0001,4.05690854326386,5.915834617433,0
Fragment,0.001273567,0.0489875807777533,0.00295577816838681,0.0001,0.0364,9.09709957827359e-05,0.0001,4.05691016098681,5.91583225845017,0
Fragment,0.001273567,0.0489875807777533,0.00295575821603534,0.0005,0.0355,9.06627061654865e-05,0.0001,4.05688277567816,5.91587219228637,0
Fragment,0.001273567,0.0489875807777533,0.00295578427987591,0.001,0.0342,8.9758784761977e-05,0.0001,4.05691854922192,5.91582002665618,0
Fragment,0.002097134,0.0898614867757904,0.0122576241294764,5e-06,0.1519,0.00156620795424261,0.0001,27.7034742929317,0.86631733428913,0
Fragment,0.002097134,0.0898614867757904,0.0122576340292143,1e-05,0.1519,0.00156632989736833,0.0001,27.703496667344,0.866316634617841,0
Fragment,0.002097134,0.0898614867757904,0.0122576137129122,5e-05,0.1518,0.00156607967105139,0.0001,27.7034507504397,0.866318070488712,0
Fragment,0.002097134,0.0898614867757904,0.0122576136024143,0.0001,0.1517,0.00156607332109716,0.0001,27.7034505007031,0.866318078298256,0
Fragment,0.002097134,0.0898614867757904,0.0122576277523649,0.0005,0.1509,0.00156602215558526,0.0001,27.7034824810274,0.866317078238676,0
Fragment,0.002097134,0.0898614867757904,0.0122576850140645,0.001,0.1499,0.00156595723558409,0.0001,27.7036118982787,0.866313031243815,0
Fiber,0.000953507,0.0264258750482728,0.0122825136550194,5e-06,0.033,0.000354483744761844,0.0001,17.1480722440124,1.39957422959773,0
Fiber,0.000953507,0.0264258750482728,0.0122825152965369,1e-05,0.033,0.000354504496329046,0.0001,17.1480745357958,1.39957404254927,0
Fiber,0.000953507,0.0264258750482728,0.0122825284286769,5e-05,0.033,0.000354670508866666,0.0001,17.148092870063,1.39957254616337,0
Fiber,0.000953507,0.0264258750482728,0.012282544843852,0.0001,0.033,0.000354878024538691,0.0001,17.1481157878969,1.3995706756855,0
Fiber,0.000953507,0.0264258750482728,0.0122825806592158,0.0005,0.0329,0.000355309882298362,0.0001,17.1481657910529,1.39956659461049,0
Fiber,0.000953507,0.0264258750482728,0.0122825591259751,0.001,0.0327,0.00035492848220212,0.0001,17.148135727698,1.39956904826889,0
Fiber,0.001204416,0.0840716054670816,0.029089400863187,5e-06,0.0784,0.00199539370581938,0.0001,51.2997744750632,0.467838314019614,0
Fiber,0.001204416,0.0840716054670816,0.0290894025337307,1e-05,0.0784,0.00199544285276085,0.0001,51.2997774211024,0.467838287152636,0
Fiber,0.001204416,0.0840716054670816,0.0290894158980804,5e-05,0.0784,0.00199583602829259,0.0001,51.2998009894161,0.467838072216918,0
Fiber,0.001204416,0.0840716054670816,0.0290894326035175,0.0001,0.0784,0.00199632749770726,0.0001,51.2998304498083,0.467837803547549,0
Fiber,0.001204416,0.0840716054670816,0.029089468069989,0.0005,0.0783,0.00199735029639993,0.0001,51.2998929956819,0.467837233150178,0
Fiber,0.001204416,0.0840716054670816,0.0290894409361166,0.001,0.0781,0.00199644705621822,0.0001,51.2998451445233,0.467837669536557,0
Film,0.000788476,0.00695688471649791,0.00159670535217075,5e-06,0.0055,7.60793627887933e-06,0.0001,1.04278853581238,23.0152127452215,0
Film,0.000788476,0.00695688471649791,0.00159670731315828,1e-05,0.0055,7.61163330793262e-06,0.0001,1.0427898165091,23.0151844792114,0
Film,0.000788476,0.00695688471649791,0.00159672300105846,5e-05,0.0055,7.64120954035897e-06,0.0001,1.04280006208286,23.0149583536301,0
Film,0.000788476,0.00695688471649791,0.00159674261093368,0.0001,0.0055,7.6781798308919e-06,0.0001,1.04281286905006,23.014675702902,0
Film,0.000788476,0.00695688471649791,0.00159675440875357,0.0005,0.0053,7.65456898530925e-06,0.0001,1.04282057406045,23.0145056560887,0
Film,0.000788476,0.00695688471649791,0.00159676982065409,0.001,0.0049,7.38545552420346e-06,0.0001,1.04283063938224,23.0142835218356,0
Film,0.001172154,0.0275033743897306,0.00500987493822698,5e-06,0.0224,9.71000677533143e-05,0.0001,4.5615107938883,5.26141471201958,0
Film,0.001172154,0.0275033743897306,0.00500987777642128,1e-05,0.0224,9.71152291561928e-05,0.0001,4.56151337807534,5.26141173132467,0
Film,0.001172154,0.0275033743897306,0.00500980446687153,5e-05,0.0223,9.67355303310234e-05,0.0001,4.56144662944257,5.26148872269781,0
Film,0.001172154,0.0275033743897306,0.00500983381617863,0.0001,0.0223,9.68871415216143e-05,0.0001,4.56147335210187,5.26145789911084,0
Film,0.001172154,0.0275033743897306,0.00500978842009663,0.0005,0.022,9.65970378562682e-05,0.0001,4.56143201879104,5.26150557569001,0
Film,0.001172154,0.0275033743897306,0.00500983745803567,0.001,0.0217,9.66100517263501e-05,0.0001,4.56147666802701,5.26145407434054,0
