Shape,ESD,CSF,Wt,Initial_W,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,0.00626639479759599,5e-06,0.0577,0.000299187172444217,0.0001,8.60084866957279,60.8244944642014
Fragment,0.001273567,0.0489875807777533,0.00626640457292746,1e-05,0.0577,0.000299249643209622,0.0001,8.60086208656125,60.8244859820827
Fragment,0.001273567,0.0489875807777533,0.00626638450194743,5e-05,0.0576,0.000299121430855502,0.0001,8.6008345384307,60.8245033978326
Fragment,0.001273567,0.0489875807777533,0.00626638421009887,0.0001,0.0575,0.000299114596753968,0.0001,8.60083413785823,60.8245036510728
Fragment,0.001273567,0.0489875807777533,0.00626639240315715,0.0005,0.0567,0.000298943549099019,0.0001,8.60084538312072,60.8244965418758
Fragment,0.001273567,0.0489875807777533,0.00626634000655545,0.001,0.0556,0.000297848855113057,0.0001,8.60077346693023,60.8245420072567
Fragment,0.002097134,0.0898614867757904,0.0122177696019733,5e-06,0.1075,0.00108477376715003,0.0001,27.6133990168036,36.6633579415095
Fragment,0.002097134,0.0898614867757904,0.0122177795018393,1e-05,0.1075,0.00108489546090357,0.0001,27.6134213915051,36.6633570240846
Fragment,0.002097134,0.0898614867757904,0.0122177591805299,5e-05,0.1074,0.00108464572136471,0.0001,27.6133754632838,36.6633589072713
Fragment,0.002097134,0.0898614867757904,0.0122177587350272,0.0001,0.1073,0.00108463529217539,0.0001,27.6133744564026,36.6633589485564
Fragment,0.002097134,0.0898614867757904,0.0122177586081118,0.0005,0.1065,0.00108441355136837,0.0001,27.6133741695609,36.6633589603177
Fragment,0.002097134,0.0898614867757904,0.0122177700687124,0.001,0.1055,0.00108381988207284,0.0001,27.6134000716811,36.6633578982565
Fiber,0.000953507,0.0264258750482728,0.0158027511340713,5e-06,0.0297,0.000402131400839996,0.0001,22.0628061740817,73.3743654803147
Fiber,0.000953507,0.0264258750482728,0.0158027527836012,1e-05,0.0297,0.000402158299495679,0.0001,22.0628084770515,73.3743651486344
Fiber,0.000953507,0.0264258750482728,0.0158027659512288,5e-05,0.0297,0.000402373210786865,0.0001,22.0628268608641,73.3743625009485
Fiber,0.000953507,0.0264258750482728,0.0158027823418011,0.0001,0.0297,0.000402641192878861,0.0001,22.0628497443492,73.374359205215
Fiber,0.000953507,0.0264258750482728,0.0158028164874877,0.0005,0.0296,0.000403180650572357,0.0001,22.062897416407,73.3743523393986
Fiber,0.000953507,0.0264258750482728,0.0158027882811139,0.001,0.0294,0.000402614473079648,0.0001,22.0628580364437,73.3743580109699
Fiber,0.001204416,0.0840716054670816,0.026295148376786,5e-06,0.0487,0.0010983709764263,0.0001,46.3720510388559,37.1778087833108
Fiber,0.001204416,0.0840716054670816,0.0262951500400886,1e-05,0.0487,0.00109841560766808,0.0001,46.3720539721254,37.177808717337
Fiber,0.001204416,0.0840716054670816,0.0262951633288014,5e-05,0.0487,0.00109877237839872,0.0001,46.3720774070518,37.17780819025
Fiber,0.001204416,0.0840716054670816,0.026295179896539,0.0001,0.0487,0.00109921767137378,0.0001,46.3721066246079,37.1778075331038
Fiber,0.001204416,0.0840716054670816,0.0262952143609729,0.0005,0.0486,0.00110012526817122,0.0001,46.372167403367,37.1778061661031
Fiber,0.001204416,0.0840716054670816,0.0262951848711827,0.001,0.0484,0.00109922832063907,0.0001,46.3721153974974,37.1778073357888
Film,0.000788476,0.00695688471649791,0.00711413757920605,5e-06,0.0181,0.000109515745508866,0.0001,4.64615534713556,165.267586024197
Film,0.000788476,0.00695688471649791,0.00711413975507531,1e-05,0.0181,0.000109532401711463,0.0001,4.6461567681689,165.267582339625
Film,0.000788476,0.00695688471649791,0.0071141570828665,5e-05,0.0181,0.000109665289096331,0.0001,4.64616808473521,165.267552997185
Film,0.000788476,0.00695688471649791,0.00711408396685783,0.0001,0.018,0.000109119149439923,0.0001,4.64612033357341,165.267676811008
Film,0.000788476,0.00695688471649791,0.00711407110350984,0.0005,0.0178,0.000108988861466863,0.0001,4.64611193267978,165.267698593938
Film,0.000788476,0.00695688471649791,0.00711410959083933,0.001,0.0176,0.000109117238975413,0.0001,4.6461370682791,165.267633419337
Film,0.001172154,0.0275033743897306,0.010959820917525,5e-06,0.0351,0.000326515149663182,0.0001,9.97895996023925,78.2434947532606
Film,0.001172154,0.0275033743897306,0.0109598239016511,1e-05,0.0351,0.000326548498943148,0.0001,9.97896267729776,78.2434934134083
Film,0.001172154,0.0275033743897306,0.0109598477057366,5e-05,0.0351,0.000326814835870924,0.0001,9.97898435101104,78.243482725564
Film,0.001172154,0.0275033743897306,0.0109598772940851,0.0001,0.0351,0.000327146667542585,0.0001,9.97901129131849,78.2434694407027
Film,0.001172154,0.0275033743897306,0.0109598217914528,0.0005,0.0348,0.000326473480569455,0.0001,9.97896075595388,78.2434943608729
Film,0.001172154,0.0275033743897306,0.0109598305504251,0.001,0.0345,0.000326363908773551,0.0001,9.97896873103253,78.2434904281568
