Shape,ESD,CSF,Wt,Initial_W,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,0.00538352804631034,5e-06,0.044,0.000194865067459014,0.0001,7.38908280283896,30.9774802240538
Fragment,0.001273567,0.0489875807777533,0.00538353781562279,1e-05,0.044,0.000194918782381943,0.0001,7.3890962115661,30.9774685126811
Fragment,0.001273567,0.0489875807777533,0.00538351775169655,5e-05,0.0439,0.00019480853384096,0.0001,7.38906867311714,30.97749256519
Fragment,0.001273567,0.0489875807777533,0.00538351735137041,0.0001,0.0438,0.000194801376166626,0.0001,7.38906812365535,30.9774930451
Fragment,0.001273567,0.0489875807777533,0.00538352064593738,0.0005,0.043,0.000194597930616986,0.0001,7.38907264556513,30.9774890955835
Fragment,0.001273567,0.0489875807777533,0.00538355182242813,0.001,0.042,0.000194018455528448,0.0001,7.38911543640223,30.977451721495
Fragment,0.002097134,0.0898614867757904,0.0103184503601255,5e-06,0.0842,0.000715118925114171,0.0001,23.3207448095277,13.8850436397926
Fragment,0.002097134,0.0898614867757904,0.010318460191043,1e-05,0.0842,0.000715221739416108,0.0001,23.3207670283988,13.8850409407201
Fragment,0.002097134,0.0898614867757904,0.0103184400089234,5e-05,0.0841,0.000715010738802767,0.0001,23.3207214147606,13.8850464817129
Fragment,0.002097134,0.0898614867757904,0.0103184395362763,0.0001,0.084,0.000715000846775585,0.0001,23.3207203465302,13.8850466114782
Fragment,0.002097134,0.0898614867757904,0.0103184379673672,0.0005,0.0832,0.000714764814851917,0.0001,23.3207168006366,13.8850470422222
Fragment,0.002097134,0.0898614867757904,0.0103184447525313,0.001,0.0822,0.000714104921139959,0.0001,23.320732135796,13.8850451793559
Fiber,0.000953507,0.0264258750482728,0.00489780725804727,5e-06,0.0076,3.15102328409897e-05,0.0001,6.83801012213169,224.538608755789
Fiber,0.000953507,0.0264258750482728,0.00489780874082625,1e-05,0.0076,3.15187457465847e-05,0.0001,6.83801219229434,224.53860901151
Fiber,0.000953507,0.0264258750482728,0.00489782048489778,5e-05,0.0076,3.1586531053533e-05,0.0001,6.8380285886276,224.538611036924
Fiber,0.000953507,0.0264258750482728,0.0048978348766541,0.0001,0.0076,3.16704844506318e-05,0.0001,6.83804868149165,224.538613519035
Fiber,0.000953507,0.0264258750482728,0.00489777809422662,0.0005,0.0074,3.13334567727528e-05,0.0001,6.83796940544149,224.538603726351
Fiber,0.000953507,0.0264258750482728,0.00489784109481966,0.001,0.0073,3.15820194735728e-05,0.0001,6.83805736290291,224.538614591491
Fiber,0.001204416,0.0840716054670816,0.00870535462924818,5e-06,0.0139,0.000102908792023158,0.0001,15.3520772499318,89.7767060146365
Fiber,0.001204416,0.0840716054670816,0.00870535619343242,1e-05,0.0139,0.000102923736066786,0.0001,15.3520800084038,89.7767052814389
Fiber,0.001204416,0.0840716054670816,0.00870536864080237,5e-05,0.0139,0.000103042975747976,0.0001,15.3521019596043,89.7766994468522
Fiber,0.001204416,0.0840716054670816,0.00870538403745242,0.0001,0.0139,0.000103191257579009,0.0001,15.3521291119228,89.7766922298401
Fiber,0.001204416,0.0840716054670816,0.00870532405169067,0.0005,0.0137,0.000102607152898176,0.0001,15.3520233257616,89.7767203476474
Fiber,0.001204416,0.0840716054670816,0.00870538891042304,0.001,0.0136,0.000103114934844433,0.0001,15.3521377055097,89.7766899456931
Film,0.000788476,0.00695688471649791,0.00842005179117055,5e-06,0.019,0.000135913701451753,0.0001,5.49903178244009,41.0446129802584
Film,0.000788476,0.00695688471649791,0.00842005400653471,1e-05,0.019,0.000135933407572477,0.0001,5.49903322926705,41.0446108092753
Film,0.000788476,0.00695688471649791,0.00842007164541761,5e-05,0.019,0.00013609066523309,0.0001,5.49904474900351,41.0445935237902
Film,0.000788476,0.00695688471649791,0.00842009348823211,0.0001,0.019,0.000136286284527564,0.0001,5.49905901427576,41.0445721186816
Film,0.000788476,0.00695688471649791,0.0084200801584596,0.0005,0.0188,0.000136131330342467,0.0001,5.49905030876604,41.0445851813295
Film,0.000788476,0.00695688471649791,0.00842001797277328,0.001,0.0185,0.000135434161175378,0.0001,5.49900969606271,41.0446461212776
Film,0.001172154,0.0275033743897306,0.00969279664377448,5e-06,0.0276,0.000226180358250478,0.0001,8.82532938620399,33.0321735890101
Film,0.001172154,0.0275033743897306,0.00969279956309808,1e-05,0.0276,0.000226209901971616,0.0001,8.82533204425959,33.0321717755591
Film,0.001172154,0.0275033743897306,0.00969282282079413,5e-05,0.0276,0.000226445736230359,0.0001,8.82535322048313,33.0321573281697
Film,0.001172154,0.0275033743897306,0.00969275531050738,0.0001,0.0275,0.000225769981425261,0.0001,8.82529175210208,33.0321992648625
Film,0.001172154,0.0275033743897306,0.00969279688694619,0.0005,0.0273,0.000226131660955956,0.0001,8.8253296076128,33.0321734379545
Film,0.001172154,0.0275033743897306,0.00969280295955927,0.001,0.027,0.000225987811323622,0.0001,8.82533513675084,33.0321696657166
