Shape,ESD,CSF,Wt,Initial_W,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,0.0049941823710985,5e-06,0.055,0.000230124928110921,0.0001,6.85469208204775,9.1971346322627
Fragment,0.001273567,0.0489875807777533,0.00499419221823093,1e-05,0.055,0.000230174731148941,0.0001,6.85470559758556,9.19711962988251
Fragment,0.001273567,0.0489875807777533,0.00499417199506303,5e-05,0.0549,0.000230072486179443,0.0001,6.85467784057178,9.19715044049988
Fragment,0.001273567,0.0489875807777533,0.00499417192899734,0.0001,0.0548,0.000230067158826416,0.0001,6.85467774989429,9.19715054115335
Fragment,0.001273567,0.0489875807777533,0.00499419585056537,0.0005,0.054,0.000229958843049996,0.0001,6.85471058309315,9.19711409593359
Fragment,0.001273567,0.0489875807777533,0.00499420765231601,0.001,0.0529,0.00022920514809937,0.0001,6.85472678141366,9.19709611573328
Fragment,0.002097134,0.0898614867757904,0.0119511268143998,5e-06,0.1318,0.00131995194167986,0.0001,27.0107592610963,3.44240543916212
Fragment,0.002097134,0.0898614867757904,0.0119511366997432,1e-05,0.1318,0.00132007096216422,0.0001,27.0107816029753,3.44240308352918
Fragment,0.002097134,0.0898614867757904,0.0119511164082749,5e-05,0.1317,0.00131982668652482,0.0001,27.0107357421981,3.44240791889882
Fragment,0.002097134,0.0898614867757904,0.0119511160541103,0.0001,0.1316,0.00131981745862438,0.0001,27.0107349417501,3.44240800329486
Fragment,0.002097134,0.0898614867757904,0.0119511217445146,0.0005,0.1308,0.00131966356753148,0.0001,27.0107478026413,3.44240664729438
Fragment,0.002097134,0.0898614867757904,0.0119511552201352,0.001,0.1298,0.001319314554877,0.0001,27.0108234609405,3.44239867021249
Fiber,0.000953507,0.0264258750482728,0.0150703587843949,5e-06,0.0357,0.000468564184547159,0.0001,21.0402860877247,5.81875101837778
Fiber,0.000953507,0.0264258750482728,0.0150703604502328,1e-05,0.0357,0.000468589842116161,0.0001,21.0402884134626,5.81875048626721
Fiber,0.000953507,0.0264258750482728,0.0150703737429524,5e-05,0.0357,0.000468794641725055,0.0001,21.0403069719208,5.81874624024157
Fiber,0.000953507,0.0264258750482728,0.015070390304436,0.0001,0.0357,0.000469049948740793,0.0001,21.0403300940214,5.81874095010088
Fiber,0.000953507,0.0264258750482728,0.0150704252587268,0.0005,0.0356,0.000469568709510537,0.0001,21.0403788950015,5.81872978488507
Fiber,0.000953507,0.0264258750482728,0.0150703988832665,0.001,0.0354,0.00046905635073699,0.0001,21.0403420712445,5.81873820981793
Fiber,0.001204416,0.0840716054670816,0.0226177576448066,5e-06,0.0537,0.00105818921360676,0.0001,39.8868946035452,4.41037510798498
Fiber,0.001204416,0.0840716054670816,0.0226177593134309,1e-05,0.0537,0.00105822762537626,0.0001,39.8868975461996,4.41037483880203
Fiber,0.001204416,0.0840716054670816,0.0226177726402811,5e-05,0.0537,0.00105853446876409,0.0001,39.8869210483821,4.41037268891208
Fiber,0.001204416,0.0840716054670816,0.022617789262427,0.0001,0.0537,0.00105891732553611,0.0001,39.8869503618884,4.41037000742766
Fiber,0.001204416,0.0840716054670816,0.0226178241494159,0.0005,0.0536,0.00105970084830475,0.0001,39.8870118858321,4.41036437947064
Fiber,0.001204416,0.0840716054670816,0.0226177961131867,0.001,0.0534,0.00105895058993891,0.0001,39.8869624433483,4.41036890226421
Film,0.000788476,0.00695688471649791,0.00874424756307283,5e-06,0.0273,0.000206694072170446,0.0001,5.71076003514428,5.85074669383078
Film,0.000788476,0.00695688471649791,0.00874424981962025,1e-05,0.0273,0.00020671450094687,0.0001,5.71076150886752,5.85074544473358
Film,0.000788476,0.00695688471649791,0.00874426780363247,5e-05,0.0273,0.000206877398662725,0.0001,5.71077325400368,5.85073548982115
Film,0.000788476,0.00695688471649791,0.00874429017105312,0.0001,0.0273,0.000207080201745846,0.0001,5.71078786188972,5.85072310855873
Film,0.000788476,0.00695688471649791,0.00874427802463898,0.0005,0.0271,0.000206933963844297,0.0001,5.71077992921673,5.85072983207785
Film,0.000788476,0.00695688471649791,0.00874422244141461,0.001,0.0268,0.000206278555033229,0.0001,5.71074362849971,5.85076059980175
Film,0.001172154,0.0275033743897306,0.010664694181158,5e-06,0.0422,0.000387854481095664,0.0001,9.71024590847102,6.27893243305435
Film,0.001172154,0.0275033743897306,0.0106646971365364,1e-05,0.0422,0.000387886932214703,0.0001,9.71024859935465,6.27893099354857
Film,0.001172154,0.0275033743897306,0.0106647207156476,5e-05,0.0422,0.000388145943452584,0.0001,9.71027006822795,6.27891950866065
Film,0.001172154,0.0275033743897306,0.0106646523709324,0.0001,0.0421,0.000387402244457562,0.0001,9.71020784009646,6.27895279805813
Film,0.001172154,0.0275033743897306,0.0106646962956614,0.0005,0.0419,0.000387825699293784,0.0001,9.71024783373463,6.27893140312193
Film,0.001172154,0.0275033743897306,0.0106647109285417,0.001,0.0416,0.000387773829156178,0.0001,9.71026115702954,6.27892427574799
