Shape,ESD,CSF,Wt,Initial_W,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fragment,0.001273567,0.0489875807777533,0.00333060380162145,5e-06,0.0367,0.000102419732341792,0.0001,4.57137161020234,12.8590499683877
Fragment,0.001273567,0.0489875807777533,0.00333061350100546,1e-05,0.0367,0.000102452981596742,0.0001,4.57138492295022,12.8590189876373
Fragment,0.001273567,0.0489875807777533,0.0033305935723916,5e-05,0.0366,0.000102384703334888,0.0001,4.57135757022229,12.8590826416945
Fragment,0.001273567,0.0489875807777533,0.00333059377885033,0.0001,0.0365,0.000102380389585864,0.0001,4.57135785359421,12.8590819822404
Fragment,0.001273567,0.0489875807777533,0.00333053736306191,0.0005,0.0356,0.000101954033251789,0.0001,4.57128042092766,12.8592621838667
Fragment,0.001273567,0.0489875807777533,0.00333053681614361,0.001,0.0344,0.000101069470535381,0.0001,4.57127967026293,12.8592639308441
Fragment,0.002097134,0.0898614867757904,0.00780380229740178,5e-06,0.086,0.000562323585255339,0.0001,17.6373850307014,4.89775884116654
Fragment,0.002097134,0.0898614867757904,0.00780381218068827,1e-05,0.086,0.000562401343321145,0.0001,17.6374073679317,4.89775370953997
Fragment,0.002097134,0.0898614867757904,0.00780379188961992,5e-05,0.0859,0.000562241736432943,0.0001,17.6373615080584,4.89776424513585
Fragment,0.002097134,0.0898614867757904,0.00780379163979828,0.0001,0.0858,0.000562234796506082,0.0001,17.6373609434361,4.89776437484938
Fragment,0.002097134,0.0898614867757904,0.00780380386681462,0.0005,0.085,0.000562106109230905,0.0001,17.6373885777337,4.897758026291
Fragment,0.002097134,0.0898614867757904,0.00780386410669059,0.001,0.084,0.000561807085808013,0.0001,17.6375247259658,4.8977267485766
Fiber,0.000953507,0.0264258750482728,0.00997640204602283,5e-06,0.0236,0.000204995631197105,0.0001,13.9284244109593,8.18540700835958
Fiber,0.000953507,0.0264258750482728,0.0099764036787483,1e-05,0.0236,0.000205012679419502,0.0001,13.9284266904678,8.18540590009752
Fiber,0.000953507,0.0264258750482728,0.00997641668885902,5e-05,0.0236,0.00020514859340146,0.0001,13.9284448543653,8.18539706910116
Fiber,0.000953507,0.0264258750482728,0.0099764328710649,0.0001,0.0236,0.000205317798986885,0.0001,13.9284674469423,8.18538608498102
Fiber,0.000953507,0.0264258750482728,0.00997637104222074,0.0005,0.0234,0.000204660456064322,0.0001,13.9283811254029,8.18542805319576
Fiber,0.000953507,0.0264258750482728,0.00997644414637001,0.001,0.0233,0.000205307639712447,0.0001,13.9284831888134,8.18537843157484
Fiber,0.001204416,0.0840716054670816,0.013529821035616,5e-06,0.0321,0.000378325348253882,0.0001,23.8601259296967,6.74673610405959
Fiber,0.001204416,0.0840716054670816,0.0135298226686552,1e-05,0.0321,0.000378348402290036,0.0001,23.8601288095958,6.74673543036782
Fiber,0.001204416,0.0840716054670816,0.0135298356956086,5e-05,0.0321,0.000378532370844308,0.0001,23.860151782904,6.7467300562513
Fiber,0.001204416,0.0840716054670816,0.0135297546074017,0.0001,0.032,0.000377408655252677,0.0001,23.860008782134,6.74676350839167
Fiber,0.001204416,0.0840716054670816,0.01352978982208,0.0005,0.0319,0.00037787341329748,0.0001,23.8600708839648,6.74674898087831
Fiber,0.001204416,0.0840716054670816,0.0135297638690291,0.001,0.0317,0.00037740985573991,0.0001,23.8600251152099,6.74675968758009
Film,0.000788476,0.00695688471649791,0.00589832343726837,5e-06,0.0184,9.39512633716488e-05,0.0001,3.85212215424401,8.10353509155165
Film,0.000788476,0.00695688471649791,0.00589832562777661,1e-05,0.0184,9.39650995362139e-05,0.0001,3.85212358483788,8.10353260181333
Film,0.000788476,0.00695688471649791,0.0058983430515285,5e-05,0.0184,9.40752490753875e-05,0.0001,3.85213496407494,8.10351279798426
Film,0.000788476,0.00695688471649791,0.00589826938013446,0.0001,0.0183,9.36222965206602e-05,0.0001,3.85208685019781,8.10359653358932
Film,0.000788476,0.00695688471649791,0.00589835418797651,0.0005,0.0182,9.41091243869153e-05,0.0001,3.85214223715152,8.10350014035814
Film,0.000788476,0.00695688471649791,0.0058983073744648,0.001,0.0179,9.36539650855891e-05,0.0001,3.85211166382548,8.10355334863452
Film,0.001172154,0.0275033743897306,0.00716147595820698,5e-06,0.0283,0.000174617429781681,0.0001,6.52055196713028,8.72898859818382
Film,0.001172154,0.0275033743897306,0.00716147888061336,1e-05,0.0283,0.000174639275722229,0.0001,6.52055462799276,8.72898565128749
Film,0.001172154,0.0275033743897306,0.00716150216486816,5e-05,0.0283,0.000174813442300136,0.0001,6.52057582839814,8.72896217198768
Film,0.001172154,0.0275033743897306,0.00716143445111289,0.0001,0.0282,0.000174314035876145,0.0001,6.52051417475821,8.7290304533472
Film,0.001172154,0.0275033743897306,0.00716147957420203,0.0005,0.028,0.000174591769738477,0.0001,6.52055525950797,8.72898495188682
Film,0.001172154,0.0275033743897306,0.00716150169522375,0.001,0.0277,0.000174538113307401,0.0001,6.52057540078506,8.72896264556478
