Shape,ESD,CSF,Wt,Time,Wt_Meas
Fragment,0.001700925,0.179853784100379,0.0548435246428097,0.1628,0.040572985
Fragment,0.002086938,0.314547798915943,0.149446610583706,0.4444,0.056497175
Fragment,0.000996582,0.0977562885497524,0.0126313737590397,0.0372,0.01843318
Fragment,0.001368883,0.217466712599566,0.0451047915716948,0.134,0.033613445
Fragment,0.00194646,0.110425679175415,0.0722938198107919,0.2148,0.039215686
Fragment,0.001837442,0.614153320087042,0.116637119361201,0.3468,0.056497175
Fragment,0.001903832,0.607812939702285,0.113916287523374,0.3388,0.05988024
Fragment,0.002284278,0.737568823367241,0.262034723621908,0.7796,0.089686099
Fragment,0.001596692,0.133253919503848,0.0598577933246009,0.1778,0.040733198
Fragment,0.00168307,0.111830014655198,0.0527096755456406,0.1566,0.032906643
Fragment,0.001939073,0.0792132220091512,0.0594363304276352,0.1766,0.03868472
Fragment,0.002212588,0.148827730530593,0.0763445392925605,0.2268,0.037160643
Fragment,0.001817967,0.101895842990547,0.0521946524924802,0.155,0.037174721
Fragment,0.002582853,0.358169503538659,0.204520650092078,0.6084,0.06779661
Fragment,0.001762887,0.112834350130696,0.049831821670564,0.148,0.035735849
Fragment,0.001474584,0.0657038766404651,0.0251969267019531,0.0746,0.025247956
Fragment,0.002184712,0.14238330576472,0.0877385873242401,0.2608,0.037735849
Fragment,0.002633403,0.592065410276255,0.271788837866298,0.8086,0.084388186
Fragment,0.002795438,0.62987610365005,0.277373473210957,0.8252,0.101010101
Fragment,0.002720295,0.832775408553888,0.302231805222622,0.8992,0.104712042
Fragment,0.001862402,0.331932435701896,0.0376856206828447,0.1674,0.035273369
Fragment,0.001823016,0.288073635876191,0.0404752748824483,0.1798,0.035971223
Fragment,0.001589028,0.244162329384844,0.0278492196693705,0.1236,0.027020681
Fragment,0.001887135,0.281534172714555,0.0466583667751408,0.2072,0.035898305
Fragment,0.001762689,0.227494364831381,0.0314226970583141,0.1394,0.029895366
Fragment,0.002326884,0.357770418917705,0.0851907942566392,0.3786,0.045045045
Fragment,0.001572976,0.151910544045107,0.0206804192180432,0.0916,0.023557126
Fragment,0.001931166,0.203758372039665,0.0410935041498083,0.1824,0.028409091
Fragment,0.002105099,0.254068514462169,0.0483145967955046,0.2146,0.033167496
Fragment,0.001903886,0.198345794339446,0.0361526561316682,0.1604,0.030769231
Fragment,0.003009733,0.194618364326994,0.102979520808153,0.4578,0.040241449
Fragment,0.00252976,0.146375397879432,0.0526701227593704,0.234,0.035735849
Fragment,0.003482348,0.155076239361521,0.12368599283832,0.5498,0.046082949
Fragment,0.002552543,0.15210265891292,0.050484127225453,0.2242,0.033900369
Fragment,0.00305554,0.139544326572798,0.0945400070114276,0.4202,0.04
Fragment,0.002679545,0.262446090574843,0.104362111115787,0.4638,0.0456621
Fragment,0.002894656,0.107976997051811,0.0765441383978472,0.3402,0.038910506
Fragment,0.002893857,0.156845720807416,0.079899689738105,0.355,0.03649635
Fragment,0.002787807,0.184092479996992,0.0804848670151764,0.3576,0.043103448
Fragment,0.002904201,0.246427092654357,0.0950001056823618,0.4222,0.04784689
Fragment,0.001740289,0.254488461543747,0.0400819260808611,0.1772,0.03327787
Fragment,0.001925098,0.257537815659095,0.0606207525742936,0.2682,0.040968577
Fragment,0.001806142,0.187543972882726,0.0398630732683467,0.1762,0.027390244
Fragment,0.001619626,0.214639328769005,0.028435637468383,0.1256,0.026075619
Fragment,0.00167143,0.202405190566132,0.0287688182240777,0.127,0.027777778
Fragment,0.001826392,0.253169666550495,0.0410951831900948,0.1816,0.033167496
Fragment,0.001937634,0.248310434563996,0.0503235514545955,0.2226,0.03649635
Fragment,0.001899524,0.234553828848177,0.0531705608793094,0.2352,0.035523979
Fragment,0.002021166,0.195021366732895,0.0500732677319374,0.2214,0.037243948
Fragment,0.002182857,0.265850343081488,0.0606735741514145,0.2684,0.034843206
Fragment,0.002329768,0.130855256526302,0.0420112067262735,0.1858,0.034482759
Fragment,0.002117852,0.134588424310743,0.0436682875881413,0.193,0.029368576
Fragment,0.002273014,0.16659260114386,0.0537981581310259,0.238,0.034467532
Fragment,0.002436774,0.199939784530085,0.0581367706793424,0.2572,0.03968254
Fragment,0.002423198,0.134230751103771,0.0539060054054374,0.2384,0.034013605
Fragment,0.00226653,0.118843000909657,0.0449774413938956,0.1988,0.027855153
Fragment,0.002482053,0.122707246316342,0.0540388335157923,0.239,0.031397174
Fragment,0.002614716,0.151271901409957,0.0708777435894471,0.3136,0.044345898
Fragment,0.00251205,0.163366798250134,0.0670077728199489,0.2964,0.044345898
Fragment,0.002440144,0.143672938321042,0.0556562401433776,0.2462,0.040194093
Fragment,0.001413932,0.0945662100959202,0.00609841469914425,0.0752,0.00773589
Fragment,0.001553735,0.0879068192107053,0.00856635978276578,0.1058,0.013368984
Fragment,0.001254669,0.0443114415037606,0.00310028936109998,0.0382,0.007533333
Fragment,0.001543662,0.0793352663891255,0.00711681018670105,0.088,0.008774576
Fragment,0.001756348,0.0722279299163795,0.0089280205719634,0.1104,0.010498688
Fragment,0.001273567,0.0489875807777533,0.0029559854126136,0.0364,0.005050505
