ESD,CSF,Wt,Wt_Meas
0.0028,0.688582850108405,0.00327903720511157,0.002
0.00227,0.648102111642099,0.00509290784281603,0.003
0.00233,0.760204214511597,0.00551651748318607,0.004
0.00218,0.682382780046069,0.00736960093711612,0.007
0.00264,0.612174838828434,0.00836568919075838,0.007
0.00353,0.699835522566721,0.00704145288555323,0.005
0.00246,0.586588460085413,0.00897148765159173,0.009
0.00258,0.75,0.0104012129039732,0.011
0.00377,0.688785752709426,0.0105824820792251,0.007
0.00438,0.678902858227222,0.0102728750387448,0.007
0.00378,0.493325468622035,0.00878698621403819,0.008
0.00271,0.726439367623203,0.0149693966579604,0.014
0.00426,0.568257125703863,0.0123429721371956,0.011
0.00306,0.550160642915358,0.0185982697190258,0.018
0.00338,0.337572595485915,0.0198361623448634,0.017
0.00335,0.666512429833949,0.0210855175141568,0.018
0.00374,0.528275662545886,0.0191126247587951,0.017
0.00435,0.55703155220904,0.0174247529418061,0.016
0.00315,0.604273320753462,0.0223969652302051,0.023
0.00344,0.725497343002635,0.0200619056911957,0.021
0.00342,0.554478194519527,0.0208581362978567,0.022
0.00341,0.812229188103475,0.0237136591665852,0.023
0.00371,0.722890091159127,0.0206608691807384,0.022
0.00315,0.86602999816897,0.0290882943398788,0.026
0.00434,0.624926299509465,0.0326986583262029,0.02
0.00491,0.665656065767088,0.017073768776548,0.018
0.00337,0.750501714898378,0.0308353956289611,0.029
0.00383,0.56739192107851,0.0267396998410374,0.026
0.00409,0.786470757212861,0.0323490333398062,0.024
0.00516,0.450690771977529,0.0203971930275776,0.02
0.00395,0.604288664714616,0.0275308739656953,0.026
0.00353,0.910025594829787,0.034869207703064,0.031
0.0038,0.671253404466227,0.0330297620147619,0.033
0.00382,0.575417774232696,0.0334876342695781,0.033
0.00498,0.585714285714286,0.0255801830900942,0.025
0.00489,0.597666043925739,0.0244932322791381,0.026
0.0051,0.765952756705411,0.0238370544536226,0.026
0.00426,0.782005335016136,0.032893652768795,0.033
0.00388,0.811069932284017,0.0387689017915837,0.037
0.00525,0.791832624176188,0.0323754390162154,0.029
0.00458,0.698861969137964,0.0400052673390923,0.038
0.00445,0.823432929414059,0.0418851459405035,0.041
0.00526,0.775329841832728,0.0397319489396985,0.039
0.00546,0.72201333654259,0.0412510769167386,0.038
0.00528,0.504021734055511,0.0383256212931542,0.041
0.00475,0.642372330965134,0.0491914124047902,0.046
0.00497,0.700345950959967,0.0459287447344411,0.045
0.00502,0.401729907815845,0.0394352791519291,0.046
0.00561,0.683559529159116,0.0484140907931482,0.043
0.00557,0.642980598579048,0.04608789752714,0.045
0.00488,0.65296325032182,0.0536257948692537,0.056
0.00473,0.53478634258181,0.0588333276508761,0.059
0.00556,0.625916731459938,0.0528441309019178,0.051
0.00475,0.51263005695099,0.0562224579632416,0.061
0.00526,0.671240396613534,0.0599078284212564,0.061
0.00607,0.365485551404663,0.0556906719576906,0.059
0.00664,0.589958343832535,0.0526269848205577,0.057
0.00701,0.677524822688767,0.0608325485787277,0.061
0.00725,0.853465142873241,0.079636975981115,0.061
0.00694,0.65177265731407,0.0747776334503457,0.068
0.00624,0.792553892239704,0.0775708910399838,0.076
0.00634,0.693097716320316,0.0779004771346796,0.076
0.00553,0.511630677109995,0.0860676541472422,0.09
0.00657,0.643595902934838,0.0764671337358659,0.08
0.00764,0.631121310250253,0.0722380880735904,0.076
0.00669,0.688334733303742,0.0898062062234267,0.09
0.00818,0.551316018109339,0.0747084120621965,0.076
0.00822,0.798029748644951,0.0767268422175754,0.076
0.00659,0.601127122699595,0.0914852895251443,0.095
0.00808,0.605792148334829,0.0903632850768862,0.09
0.00823,0.797560917068926,0.090469264487565,0.09
0.00705,0.707187612385366,0.10244582242064,0.107
0.00757,0.655955398691104,0.100821862602895,0.105
0.00773,0.502769653223077,0.10717303738926,0.107
0.0028,0.688582850108405,0.0327758623791088,0.025
0.00956,0.814516129032258,0.103622829083894,0.098
0.0104,0.776899705924871,0.0904342807756321,0.093
0.00971,0.717856968658089,0.104272527323288,0.107
0.00233,0.760204214511597,0.045946637317393,0.036
0.00244,0.714782916204351,0.0340886471262492,0.035
0.0104,0.755540362734973,0.143380236688906,0.137
0.00246,0.586588460085413,0.0603166317152797,0.044
0.00288,0.739221270954573,0.0415178887856944,0.038
0.00353,0.699835522566721,0.052219724795746,0.044
0.00377,0.688785752709426,0.0662900782085291,0.047
0.00258,0.75,0.0696312705309718,0.074
0.00378,0.493325468622035,0.0555518717205046,0.052
0.00271,0.726439367623203,0.0877449252654555,0.082
0.00276,0.699867712367712,0.0822540882778727,0.088
0.00411,0.749482066709711,0.0682490300553244,0.061
0.00438,0.678902858227222,0.0647417956024495,0.062
0.00338,0.337572595485915,0.0873361834907986,0.082
0.00306,0.550160642915358,0.0953906246712158,0.093
0.00426,0.568257125703863,0.0695334974454937,0.068
0.00374,0.528275662545886,0.0915086348323282,0.082
0.00314,0.677738993669886,0.0977825642705593,0.109
0.00335,0.666512429833949,0.105130853914747,0.103
0.00306,0.747900286608902,0.0948290228046099,0.115
0.00315,0.604273320753462,0.109099267638079,0.113
0.00342,0.554478194519527,0.099582611783007,0.105
0.00435,0.55703155220904,0.085747682181624,0.084
0.00344,0.725497343002635,0.103468627854255,0.115
0.00371,0.722890091159127,0.103252278788899,0.109
0.00341,0.812229188103475,0.118412125830928,0.123
0.00315,0.86602999816897,0.139816266242578,0.139
0.00395,0.604288664714616,0.120629658468824,0.121
0.00563,0.574776329480973,0.0659549396665312,0.085
0.00383,0.56739192107851,0.11714382822406,0.126
0.00337,0.750501714898378,0.140698379498646,0.145
0.00516,0.450690771977529,0.0896856586228765,0.101
0.00353,0.910025594829787,0.156674453196577,0.15
0.00434,0.624926299509465,0.132188811155879,0.125
