Shape,ESD,CSF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.00319427699921953,0.040572985,0.0052,1.39366882029598e-05,0.0002,70.56401359,7.61096020317948,5.000583972,12.1458302019459
Fragment,0.002086938,0.314547798915943,0.00424273509733991,0.056497175,0.007,2.49864033944893e-05,0.0002,120.5583645,12.4032979397179,3.164211244,5.05074050601831
Fragment,0.000996582,0.0977562885497524,0.00198022614739061,0.01843318,0.003,4.91073922973745e-06,0.0002,18.78341076,2.76445510854171,14.19456233,23.7216983404633
Fragment,0.001368883,0.217466712599566,0.00278206917835491,0.033613445,0.0044,1.02121249496293e-05,0.0002,47.04791549,5.33477328037974,5.863401305,13.481374193338
Fragment,0.00194646,0.110425679175415,0.00387735590268548,0.039215686,0.0064,2.08781048129876e-05,0.0002,78.04884112,10.5721389502734,6.125412255,10.1053421356159
Fragment,0.001837442,0.614153320087042,0.00348403431898452,0.056497175,0.0058,1.70274668415189e-05,0.0002,106.1454753,8.96763195540559,2.785926202,5.63993787848047
Fragment,0.001903832,0.607812939702285,0.00363945821343132,0.05988024,0.006,1.83674192020683e-05,0.0002,116.5663892,9.70615163892528,2.569632877,5.19345344354325
Fragment,0.002284278,0.737568823367241,0.00453658374188407,0.089686099,0.0076,2.90903199977741e-05,0.0002,209.476473,14.5164225545384,1.374384276,2.80357206966239
Fragment,0.001596692,0.133253919503848,0.00325654880953208,0.040733198,0.0054,1.48065311087487e-05,0.0002,66.50141243,7.28384094228167,4.657294292,10.4097291600127
Fragment,0.00168307,0.111830014655198,0.00313427271989708,0.032906643,0.0052,1.3723774722393e-05,0.0002,56.63006065,7.38959563368889,7.522195588,14.8141561085882
Fragment,0.001939073,0.0792132220091512,0.00376964055907598,0.03868472,0.0062,1.96502597967793e-05,0.0002,76.69989409,10.239430748567,6.270825697,11.9101725506652
Fragment,0.002212588,0.148827730530593,0.003676062287953,0.037160643,0.006,1.85172020433541e-05,0.0002,84.07075934,11.39370908859,7.754318723,18.4326859984342
Fragment,0.001817967,0.101895842990547,0.00340565986317797,0.037174721,0.0056,1.60331555544804e-05,0.0002,69.10268019,8.67299266353826,6.366489908,13.3383309765299
Fragment,0.002582853,0.358169503538659,0.00513171282228643,0.06779661,0.0086,3.72405540567926e-05,0.0002,179.0477572,18.5670858954069,2.719526337,5.09914969145634
Fragment,0.001762887,0.112834350130696,0.00329505227256315,0.035735849,0.0054,1.4948616965069e-05,0.0002,64.4153994,8.13707832045213,6.680757556,14.1546094935624
Fragment,0.001474584,0.0657038766404651,0.00264577159901661,0.025247956,0.0042,9.27671250271378e-06,0.0002,38.06772521,5.46516879403181,11.1950633,21.9493502649218
Fragment,0.002184712,0.14238330576472,0.00374049184304468,0.037735849,0.0062,1.95266383388068e-05,0.0002,84.29647367,11.4473409602255,7.424981092,14.0253508975563
Fragment,0.002633403,0.592065410276255,0.00522228710841051,0.084388186,0.0088,3.88185276354333e-05,0.0002,227.2271198,19.2645905493506,1.789631179,3.0803494852545
Fragment,0.002795438,0.62987610365005,0.00524113202725152,0.101010101,0.0088,3.89329592444866e-05,0.0002,288.7193467,20.5237481552499,1.325958076,3.46008247128625
Fragment,0.002720295,0.832775408553888,0.00511829830347114,0.104712042,0.0086,3.71610335054559e-05,0.0002,291.2552583,19.5039829839614,1.200693646,2.81176676333894
Fragment,0.001862402,0.331932435701896,0.00221790962442144,0.035273369,0.0056,1.04265810525276e-05,0.0002,42.43468715,3.21534638836086,4.014904573,11.4311951614579
Fragment,0.001823016,0.288073635876191,0.00226392435645374,0.035971223,0.0056,1.06000048730426e-05,0.0002,42.35905822,3.21264607442669,3.778989772,10.9681836465303
Fragment,0.001589028,0.244162329384844,0.00191740447200048,0.027020681,0.0048,7.7189181724808e-06,0.0002,27.7350146,2.37167828491738,5.837603088,14.1050160754522
Fragment,0.001887135,0.281534172714555,0.00235792759792429,0.035898305,0.0058,1.14199643403901e-05,0.0002,43.76003465,3.4637291643732,3.927813493,9.13685559459944
Fragment,0.001762689,0.227494364831381,0.00208756039230039,0.029895366,0.0052,9.09173349887648e-06,0.0002,34.03926738,2.86434439313744,5.290096612,13.0033352428646
Fragment,0.002326884,0.357770418917705,0.00263567223402144,0.045045045,0.0066,1.45699232434562e-05,0.0002,67.70525074,4.77393636971422,3.075929004,7.44387128686391
Fragment,0.001572976,0.151910544045107,0.00176850323278479,0.023557126,0.0044,6.52130616572541e-06,0.0002,23.93563716,2.16540156199545,7.602792007,20.5728559468202
Fragment,0.001931166,0.203758372039665,0.00221307039748683,0.028409091,0.0056,1.04082448027156e-05,0.0002,35.43868486,3.32678953760086,6.41801341,12.0161494588768
Fragment,0.002105099,0.254068514462169,0.00230596824724322,0.033167496,0.0058,1.12176179339777e-05,0.0002,45.1009592,3.7786471477031,5.132663125,11.6270353761048
Fragment,0.001903886,0.198345794339446,0.00220291214533544,0.030769231,0.0054,9.92959089081251e-06,0.0002,37.84061887,3.26474006564421,5.393905662,12.5733654700583
Fragment,0.003009733,0.194618364326994,0.00337512118474854,0.040241449,0.0086,2.43728068681103e-05,0.0002,78.23520109,7.90729301350565,4.985129165,7.70665384230263
Fragment,0.00252976,0.146375397879432,0.00298267076806081,0.035735849,0.0076,1.90413378385677e-05,0.0002,58.39612919,5.87347508136015,5.31332986,13.0023254927056
Fragment,0.003482348,0.155076239361521,0.00403391278577013,0.046082949,0.0104,3.52890020188368e-05,0.0002,103.6604469,10.9347577202448,4.398324944,6.76920826112579
Fragment,0.002552543,0.15210265891292,0.00307576991100764,0.033900369,0.0078,2.01322819840427e-05,0.0002,55.89565457,6.11135345712789,5.957441725,14.0487857342166
Fragment,0.00305554,0.139544326572798,0.00338383273332483,0.04,0.0086,2.44235981870858e-05,0.0002,78.94936371,8.04835922242368,5.122284464,9.90719714271734
Fragment,0.002679545,0.262446090574843,0.0031522006122627,0.0456621,0.008,2.11631081900856e-05,0.0002,79.03464949,6.57484312909678,3.447028777,6.51064519889584
Fragment,0.002894656,0.107976997051811,0.00341276354840263,0.038910506,0.0086,2.4591845047778e-05,0.0002,72.75526401,7.68977531547885,5.128127612,8.36934756560464
Fragment,0.002893857,0.156845720807416,0.00305131046705702,0.03649635,0.0078,2.00028825373515e-05,0.0002,68.22243129,6.87343700642801,5.827387715,11.2847639153271
Fragment,0.002787807,0.184092479996992,0.00334935598076824,0.043103448,0.0086,2.42222356491793e-05,0.0002,77.62031085,7.26832776969831,4.024707892,7.19056485048772
Fragment,0.002904201,0.246427092654357,0.00355320148596714,0.04784689,0.009,2.6818055848031e-05,0.0002,89.75962839,8.03261583477301,3.402631649,6.28548133257428
Fragment,0.001740289,0.254488461543747,0.00224126508196473,0.03327787,0.0056,1.0524644375426e-05,0.0002,37.4091264,3.03935230312399,4.241101031,12.0820914502078
Fragment,0.001925098,0.257537815659095,0.00255605631278955,0.040968577,0.0064,1.37158318641078e-05,0.0002,50.94532483,3.83433191131932,3.095418183,7.08844420494992
Fragment,0.001806142,0.187543972882726,0.0021401759063886,0.027390244,0.0052,9.28345772385122e-06,0.0002,31.95570988,3.01208904096193,6.497232288,12.6704629699487
Fragment,0.001619626,0.214639328769005,0.00213819462993657,0.026075619,0.0052,9.27659724138726e-06,0.0002,27.28035675,2.6985372541026,6.428561056,13.8507981624772
Fragment,0.00167143,0.202405190566132,0.00198300350058894,0.027777778,0.0048,7.93703294115363e-06,0.0002,29.99067677,2.58272470855509,5.846034733,16.7237146294578
Fragment,0.001826392,0.253169666550495,0.00226001248203376,0.033167496,0.0056,1.059532102711e-05,0.0002,39.12977386,3.21640906572651,4.480607591,10.5151619190493
Fragment,0.001937634,0.248310434563996,0.00246185628168049,0.03649635,0.0062,1.28135217557189e-05,0.0002,45.67954529,3.7170712527198,3.925916726,9.18107998600185
Fragment,0.001899524,0.234553828848177,0.00229547755022045,0.035523979,0.0056,1.07282646147394e-05,0.0002,43.58801544,3.39769411880133,4.062280579,10.9506871032219
Fragment,0.002021166,0.195021366732895,0.00240378322396176,0.037243948,0.006,1.2088221829329e-05,0.0002,48.62484634,3.78585283093272,3.932409484,10.9982201277919
Fragment,0.002182857,0.265850343081488,0.0024268860583912,0.034843206,0.006,1.21814477096185e-05,0.0002,49.1296891,4.12801356940789,4.85240821,11.2422825649766
Fragment,0.002329768,0.130855256526302,0.00282632010567987,0.034482759,0.007,1.65471618092349e-05,0.0002,51.89377308,5.13098171986182,5.287822458,11.7009187001782
Fragment,0.002117852,0.134588424310743,0.00257573593483987,0.029368576,0.0064,1.38006848838238e-05,0.0002,40.1771498,4.25072870688642,6.626711992,11.7033783121594
Fragment,0.002273014,0.16659260114386,0.00275386376671637,0.034467532,0.007,1.62046081448289e-05,0.0002,50.60726401,4.87765418130386,5.163568008,9.28132453310856
Fragment,0.002436774,0.199939784530085,0.00278596318211409,0.03968254,0.007,1.63568753363835e-05,0.0002,62.46191836,5.29001700958105,4.176231488,9.41446678571403
Fragment,0.002423198,0.134230751103771,0.0030072672970847,0.034013605,0.0076,1.91859374050013e-05,0.0002,53.24051475,5.67841823963392,5.65264693,9.91647378725353
Fragment,0.00226653,0.118843000909657,0.00257761144978583,0.027855153,0.0064,1.38087556683904e-05,0.0002,40.78192505,4.55245191852557,7.88349308,12.6958440311381
Fragment,0.002482053,0.122707246316342,0.00283730124637516,0.031397174,0.0072,1.71654388018982e-05,0.0002,50.33872398,5.48760626586848,6.795135721,11.7833328690097
Fragment,0.002614716,0.151271901409957,0.00328874753764626,0.044345898,0.0084,2.32306113932954e-05,0.0002,74.89943331,6.70072051408994,3.588275612,7.23979651636855
Fragment,0.00251205,0.163366798250134,0.00313861513247417,0.044345898,0.008,2.11090876319572e-05,0.0002,71.95855078,6.14373942010282,3.447384064,8.60392685880679
Fragment,0.002440144,0.143672938321042,0.00277421092785652,0.040194093,0.007,1.6301221521914e-05,0.0002,63.35463015,5.27498680725869,4.07623571,12.5475236903844
Fragment,0.001413932,0.0945662100959202,0.000956287146468502,0.00773589,0.007,5.58726228485153e-06,0.0002,11.18407026,1.45719810577694,16.68819577,25.5911178243759
Fragment,0.001553735,0.0879068192107053,0.00108497661393208,0.013368984,0.0078,7.01632605673132e-06,0.0002,21.23912323,1.81676637092754,6.140188967,21.6592144011036
Fragment,0.001254669,0.0443114415037606,0.000828295800574822,0.007533333,0.006,4.15658837146927e-06,0.0002,9.664456105,1.11999577224665,15.61551181,43.0599526277202
Fragment,0.001543662,0.0793352663891255,0.00108951366580135,0.008774576,0.008,7.25611465687454e-06,0.0002,13.84967451,1.81253604291889,14.16124594,24.052205611856
Fragment,0.001756348,0.0722279299163795,0.00116106356404219,0.010498688,0.0084,8.08371054459834e-06,0.0002,18.85414369,2.19769956920409,11.25491253,25.4250032663862
Fragment,0.001273567,0.0489875807777533,0.000781420255347978,0.005050505,0.0056,3.65909797786977e-06,0.0002,6.576848346,1.07252696018535,35.26580137,57.7075371668502
Fragment,0.001340718,0.0683668199216447,0.00088827963344072,0.008067769,0.0064,4.74003364638515e-06,0.0002,11.05992249,1.28347939492954,14.54896286,35.4320453023727
Fragment,0.001460707,0.113655451426952,0.00108692851531125,0.009458571,0.0078,7.02610319568722e-06,0.0002,14.12699412,1.71106240462039,11.53223488,21.0491863154516
