Shape,ESD,CSF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.00623206887401487,0.040572985,0.00315,1.69628867662817e-05,5e-05,70.56401359,14.8490654364634,5.000583972,9.83395209838345
Fragment,0.002086938,0.314547798915943,0.00650139182066675,0.056497175,0.0052,2.91408302771787e-05,5e-05,120.5583645,19.0063008706656,3.164211244,4.23642677031206
Fragment,0.000996582,0.0977562885497524,0.0039918533788238,0.01843318,0.00185,6.35694023240891e-06,5e-05,18.78341076,5.57274707243938,14.19456233,18.0354933076461
Fragment,0.001368883,0.217466712599566,0.0049016441161686,0.033613445,0.003,1.26922922543297e-05,5e-05,47.04791549,9.39917679413325,5.863401305,10.9173893953845
Fragment,0.00194646,0.110425679175415,0.0060918737477371,0.039215686,0.0046,2.41249386048813e-05,5e-05,78.04884112,16.6103234639856,6.125412255,8.80825934813435
Fragment,0.001837442,0.614153320087042,0.00623974722509316,0.056497175,0.0037,1.99248994883777e-05,5e-05,106.1454753,16.0606215342069,2.785926202,4.32941900331157
Fragment,0.001903832,0.607812939702285,0.00703215664638277,0.05988024,0.00365,2.22049897249892e-05,5e-05,116.5663892,18.7542141592871,2.569632877,3.86646973130287
Fragment,0.002284278,0.737568823367241,0.00624580657669892,0.089686099,0.00605,3.24693789695098e-05,5e-05,209.476473,19.9856924549181,1.374384276,2.3965102186027
Fragment,0.001596692,0.133253919503848,0.00475312445773197,0.040733198,0.0041,1.67528513363008e-05,5e-05,66.50141243,10.6311941118926,4.657294292,9.04352720376747
Fragment,0.00168307,0.111830014655198,0.00501940793457433,0.032906643,0.00365,1.57769441462381e-05,5e-05,56.63006065,11.8341313190678,7.522195588,12.8749307040386
Fragment,0.001939073,0.0792132220091512,0.00584140288120934,0.03868472,0.00455,2.28971735509357e-05,5e-05,76.69989409,15.8669346159847,6.270825697,10.5112700987886
Fragment,0.002212588,0.148827730530593,0.00760367955308138,0.037160643,0.00345,2.26902709248431e-05,5e-05,84.07075934,23.5670959968719,7.754318723,15.8283656865947
Fragment,0.001817967,0.101895842990547,0.0059369293759565,0.037174721,0.0037,1.89490264377765e-05,5e-05,69.10268019,15.1192271073034,6.366489908,11.3742525931147
Fragment,0.002582853,0.358169503538659,0.00897510294687789,0.06779661,0.00565,4.38445354692772e-05,5e-05,179.0477572,32.4728824674476,2.719526337,4.24851714665674
Fragment,0.001762887,0.112834350130696,0.00595058305962001,0.035735849,0.0035,1.79980149799821e-05,5e-05,64.4153994,14.6948686707233,6.680757556,11.9582353234937
Fragment,0.001474584,0.0657038766404651,0.00472878475049916,0.025247956,0.0028,1.14194333635845e-05,5e-05,38.06772521,9.7678903431147,11.1950633,18.71283691672
Fragment,0.002184712,0.14238330576472,0.00668398298197891,0.037735849,0.004,2.30903205166043e-05,5e-05,84.29647367,20.4555538088747,7.424981092,12.1573910636152
Fragment,0.002633403,0.592065410276255,0.00851423993291141,0.084388186,0.0061,4.48420421704474e-05,5e-05,227.2271198,31.4083356088003,1.789631179,2.51340173410997
Fragment,0.002795438,0.62987610365005,0.00927457105135779,0.101010101,0.0057,4.57015113833794e-05,5e-05,288.7193467,36.3182914523638,1.325958076,2.78412035123072
Fragment,0.002720295,0.832775408553888,0.00838081364992935,0.104712042,0.00595,4.30506096770627e-05,5e-05,291.2552583,31.9362485592366,1.200693646,2.27623874644029
Fragment,0.001862402,0.331932435701896,0.00374843585655485,0.035273369,0.00375,1.205751723576e-05,5e-05,42.43468715,5.43417980636609,4.014904573,8.38519017940229
Fragment,0.001823016,0.288073635876191,0.00334882232718085,0.035971223,0.0043,1.23322924746917e-05,5e-05,42.35905822,4.75218214455825,3.778989772,8.61453295288153
