ESD,ParticleDensity,CSF,Timestep,Wt,Time,Wt_Meas
0.0028,1414,0.688582850108405,0.0005,0.000582336966301582,0.0015,0.002
0.00227,1667,0.648102111642099,0.0005,0.00071509934298338,0.0015,0.003
0.00233,1658,0.760204214511597,0.0005,0.00113049936346454,0.0015,0.004
0.00218,1889,0.682382780046069,0.0005,0.00163236003626405,0.0015,0.007
0.00264,1763,0.612174838828434,0.0005,0.0017000514643241,0.003,0.007
0.00353,1478,0.699835522566721,0.0005,0.00147969871575365,0.006,0.005
0.00246,1895,0.586588460085413,0.0005,0.00176444618102859,0.0025,0.009
0.00258,1889,0.75,0.0005,0.00247117881435955,0.0045,0.011
0.00377,1563,0.688785752709426,0.0005,0.00222640159408252,0.0075,0.007
0.00438,1473,0.678902858227222,0.0005,0.00216546796057003,0.0095,0.007
0.00378,1521,0.493325468622035,0.0005,0.00179431786249907,0.0065,0.008
0.00271,2114,0.726439367623203,0.0005,0.00342034497693025,0.006,0.014
0.00426,1552,0.568257125703863,0.0005,0.00252563493130692,0.0085,0.011
0.00306,2137,0.550160642915358,0.0005,0.00484381357053449,0.0085,0.018
0.00338,2172,0.337572595485915,0.0005,0.00349229435236999,0.0055,0.017
0.00335,2086,0.666512429833949,0.0005,0.00488524604609812,0.009,0.018
0.00374,1903,0.528275662545886,0.0005,0.00368214088539902,0.0075,0.017
0.00435,1676,0.55703155220904,0.0005,0.00369126510687688,0.0105,0.016
0.00315,2270,0.604273320753462,0.0005,0.00542082721630553,0.009,0.023
0.00344,1975,0.725497343002635,0.0005,0.0052332983263509,0.0105,0.021
0.00342,2095,0.554478194519527,0.0005,0.00411518517575386,0.0075,0.022
0.00341,2119,0.812229188103475,0.0005,0.0060562752589187,0.0115,0.023
0.00371,1913,0.722890091159127,0.0005,0.00458488994844961,0.01,0.022
0.00315,2512,0.86602999816897,0.0005,0.00707693111195329,0.011,0.026
0.00434,2123,0.624926299509465,0.0005,0.00610040179768712,0.0115,0.02
0.00491,1564,0.665656065767088,0.0005,0.0036944119523177,0.013,0.018
0.00337,2446,0.750501714898378,0.0005,0.00834519856024745,0.0135,0.029
0.00383,2114,0.56739192107851,0.0005,0.0063683756840452,0.012,0.026
0.00409,2151,0.786470757212861,0.0005,0.00666840605351429,0.0125,0.024
0.00516,1624,0.450690771977529,0.0005,0.00487845808760753,0.0155,0.02
0.00395,2073,0.604288664714616,0.0005,0.0069012625520201,0.0135,0.026
0.00353,2478,0.910025594829787,0.0005,0.00835761638261024,0.0135,0.031
0.0038,2305,0.671253404466227,0.0005,0.00872986849966994,0.015,0.033
0.00382,2356,0.575417774232696,0.0005,0.0084743590473181,0.0145,0.033
0.00498,1749,0.585714285714286,0.0005,0.00558851386476523,0.0145,0.025
0.00489,1729,0.597666043925739,0.0005,0.00606498779896249,0.0165,0.026
0.0051,1668,0.765952756705411,0.0005,0.00487111495052684,0.014,0.026
0.00426,2078,0.782005335016136,0.0005,0.00795490176375673,0.0155,0.033
0.00388,2448,0.811069932284017,0.0005,0.00872123190122134,0.014,0.037
0.00525,1804,0.791832624176188,0.0005,0.00701892630867838,0.0175,0.029
0.00458,2167,0.698861969137964,0.0005,0.0104333928171899,0.0195,0.038
0.00445,2233,0.823432929414059,0.0005,0.0108697156353584,0.02,0.041
0.00526,1933,0.775329841832728,0.0005,0.0104444787647146,0.023,0.039
0.00546,1945,0.72201333654259,0.0005,0.00944516714675764,0.0205,0.038
0.00528,2000,0.504021734055511,0.0005,0.00822316972422655,0.017,0.041
0.00475,2367,0.642372330965134,0.0005,0.0129144998756515,0.0225,0.046
0.00497,2167,0.700345950959967,0.0005,0.0127217375616067,0.0245,0.045
0.00502,2139,0.401729907815845,0.0005,0.00921508368482862,0.0175,0.046
0.00561,2073,0.683559529159116,0.0005,0.0104960287556962,0.021,0.043
0.00557,2049,0.642980598579048,0.0005,0.00990219769677216,0.02,0.045
0.00488,2400,0.65296325032182,0.0005,0.0158746583106113,0.0275,0.056
0.00473,2694,0.53478634258181,0.0005,0.0169525652772163,0.0265,0.059
0.00556,2167,0.625916731459938,0.0005,0.0142291811910967,0.027,0.051
0.00475,2626,0.51263005695099,0.0005,0.0158487285479668,0.025,0.061
0.00526,2400,0.671240396613534,0.0005,0.0170550794780205,0.0295,0.061
0.00607,2200,0.365485551404663,0.0005,0.0172582796834267,0.0325,0.059
0.00664,1931,0.589958343832535,0.0005,0.0134328854393417,0.03,0.057
0.00701,1954,0.677524822688767,0.0005,0.0169646054881975,0.0375,0.061
0.00725,2164,0.853465142873241,0.0005,0.0184771493533457,0.0355,0.061
0.00694,2185,0.65177265731407,0.0005,0.0226867927700655,0.0435,0.068
0.00624,2367,0.792553892239704,0.0005,0.0228906850667352,0.0405,0.076
0.00634,2367,0.693097716320316,0.0005,0.025262643474744,0.0445,0.076
0.00553,3033,0.511630677109995,0.0005,0.0267264507472151,0.039,0.09
0.00657,2295,0.643595902934838,0.0005,0.0252241533453765,0.046,0.08
0.00764,2026,0.631121310250253,0.0005,0.020391951175914,0.043,0.076
0.00669,2467,0.688334733303742,0.0005,0.0310098401363261,0.053,0.09
0.00818,2022,0.551316018109339,0.0005,0.0191014841891437,0.0405,0.076
0.00822,1937,0.798029748644951,0.0005,0.0218775682916334,0.0495,0.076
0.00659,2600,0.601127122699595,0.0005,0.0301281375236323,0.049,0.095
0.00808,2201,0.605792148334829,0.0005,0.0284312542573124,0.0545,0.09
0.00823,2098,0.797560917068926,0.0005,0.027342688779643,0.0555,0.09
0.00705,2567,0.707187612385366,0.0005,0.0357205301904,0.059,0.107
0.00757,2400,0.655955398691104,0.0005,0.038851118799328,0.068,0.105
0.00773,2567,0.502769653223077,0.0005,0.0430475134015124,0.0715,0.107
0.0028,1414,0.688582850108405,0.0005,0.0109892934893243,0.048,0.025
0.00956,2037,0.814516129032258,0.0005,0.0324685057351405,0.0685,0.098
0.0104,1815,0.776899705924871,0.0005,0.0306109374443001,0.078,0.093
0.00971,2033,0.717856968658089,0.0005,0.0383839911371792,0.0815,0.107
0.00233,1658,0.760204214511597,0.0005,0.0182322301716427,0.0495,0.036
0.00244,1477,0.714782916204351,0.0005,0.0129914398200304,0.048,0.035
0.0104,2310,0.755540362734973,0.0005,0.0599262098726891,0.1095,0.137
0.00246,1895,0.586588460085413,0.0005,0.0268993274940266,0.0585,0.044
0.00288,1467,0.739221270954573,0.0005,0.0192384725932966,0.0735,0.038
0.00353,1478,0.699835522566721,0.0005,0.0259295755283537,0.0965,0.044
0.00377,1563,0.688785752709426,0.0005,0.0369360200894345,0.117,0.047
0.00258,1889,0.75,0.0005,0.0377064505253853,0.0825,0.074
0.00378,1521,0.493325468622035,0.0005,0.0304712066874691,0.104,0.052
0.00271,2114,0.726439367623203,0.0005,0.0510150106603561,0.097,0.082
0.00276,2008,0.699867712367712,0.0005,0.0501984965336526,0.1015,0.088
0.00411,1515,0.749482066709711,0.0005,0.0394018949831116,0.136,0.061
0.00438,1473,0.678902858227222,0.0005,0.038114220033395,0.144,0.062
0.00338,2172,0.337572595485915,0.0005,0.0518752741449195,0.096,0.082
0.00306,2137,0.550160642915358,0.0005,0.0721292737008025,0.136,0.093
0.00426,1552,0.568257125703863,0.0005,0.0421396789556628,0.136,0.068
0.00374,1903,0.528275662545886,0.0005,0.056083032714675,0.1215,0.082
0.00314,2039,0.677738993669886,0.0005,0.0752999545133126,0.1495,0.109
0.00335,2086,0.666512429833949,0.0005,0.0730300616468398,0.1415,0.103
0.00306,2005,0.747900286608902,0.0005,0.0677865750328251,0.1375,0.115
0.00315,2270,0.604273320753462,0.0005,0.080044247901741,0.142,0.113
0.00342,2095,0.554478194519527,0.0005,0.0614709597125477,0.118,0.105
0.00435,1676,0.55703155220904,0.0005,0.0587142957933623,0.1585,0.084
