Shape,ESD,CSF,Wt,Time,Wt_Meas
Fragment,0.001700925,0.179853784100379,0.00218104292872746,0.0034,0.040572985
Fragment,0.002086938,0.314547798915943,0.00334448152854908,0.0054,0.056497175
Fragment,0.000996582,0.0977562885497524,0.00123194523009787,0.0016,0.01843318
Fragment,0.001368883,0.217466712599566,0.00200567708595926,0.0032,0.033613445
Fragment,0.00194646,0.110425679175415,0.002627533925051,0.0042,0.039215686
Fragment,0.001837442,0.614153320087042,0.00288498303702197,0.0046,0.056497175
Fragment,0.001903832,0.607812939702285,0.00294716025331166,0.0048,0.05988024
Fragment,0.002284278,0.737568823367241,0.00414241418777476,0.0068,0.089686099
Fragment,0.001596692,0.133253919503848,0.00231115463984727,0.0036,0.040733198
Fragment,0.00168307,0.111830014655198,0.00211649234567387,0.0034,0.032906643
Fragment,0.001939073,0.0792132220091512,0.00244955651669165,0.004,0.03868472
Fragment,0.002212588,0.148827730530593,0.00240626404570083,0.0038,0.037160643
Fragment,0.001817967,0.101895842990547,0.00221790260367353,0.0034,0.037174721
Fragment,0.002582853,0.358169503538659,0.0039709609957992,0.0066,0.06779661
Fragment,0.001762887,0.112834350130696,0.00215523349782026,0.0034,0.035735849
Fragment,0.001474584,0.0657038766404651,0.00161084012884951,0.0024,0.025247956
Fragment,0.002184712,0.14238330576472,0.00253363301698214,0.004,0.037735849
Fragment,0.002633403,0.592065410276255,0.00441564773659184,0.0074,0.084388186
Fragment,0.002795438,0.62987610365005,0.00436966168934092,0.0072,0.101010101
Fragment,0.002720295,0.832775408553888,0.00453075634816771,0.0076,0.104712042
Fragment,0.001862402,0.331932435701896,0.00171442094544952,0.0042,0.035273369
Fragment,0.001823016,0.288073635876191,0.00178044881644595,0.0044,0.035971223
Fragment,0.001589028,0.244162329384844,0.00146970285191292,0.0036,0.027020681
Fragment,0.001887135,0.281534172714555,0.00188212983625007,0.0046,0.035898305
Fragment,0.001762689,0.227494364831381,0.00156701049162837,0.0038,0.029895366
Fragment,0.002326884,0.357770418917705,0.00223771748596734,0.0056,0.045045045
Fragment,0.001572976,0.151910544045107,0.00126508369835884,0.003,0.023557126
Fragment,0.001931166,0.203758372039665,0.00169136689325804,0.0042,0.028409091
Fragment,0.002105099,0.254068514462169,0.00177534445629382,0.0044,0.033167496
Fragment,0.001903886,0.198345794339446,0.00164409924497721,0.004,0.030769231
Fragment,0.003009733,0.194618364326994,0.00259181889359143,0.0066,0.040241449
Fragment,0.00252976,0.146375397879432,0.00211894245935653,0.0052,0.035735849
Fragment,0.003482348,0.155076239361521,0.00300280266971484,0.0076,0.046082949
Fragment,0.002552543,0.15210265891292,0.0021585703910946,0.0054,0.033900369
Fragment,0.00305554,0.139544326572798,0.00251683717044621,0.0064,0.04
Fragment,0.002679545,0.262446090574843,0.00257627981878647,0.0064,0.0456621
Fragment,0.002894656,0.107976997051811,0.0024688189472723,0.0062,0.038910506
Fragment,0.002893857,0.156845720807416,0.00225126206196609,0.0056,0.03649635
Fragment,0.002787807,0.184092479996992,0.00250828982252775,0.0062,0.043103448
Fragment,0.002904201,0.246427092654357,0.00272946432209698,0.0068,0.04784689
Fragment,0.001740289,0.254488461543747,0.00178233633411727,0.0044,0.03327787
Fragment,0.001925098,0.257537815659095,0.00212714295720812,0.0052,0.040968577
Fragment,0.001806142,0.187543972882726,0.00166608563084753,0.004,0.027390244
Fragment,0.001619626,0.214639328769005,0.00161974829343873,0.004,0.026075619
Fragment,0.00167143,0.202405190566132,0.00148842428209716,0.0036,0.027777778
Fragment,0.001826392,0.253169666550495,0.00177192958588022,0.0044,0.033167496
Fragment,0.001937634,0.248310434563996,0.00196206897645985,0.0048,0.03649635
Fragment,0.001899524,0.234553828848177,0.0018738732924431,0.0046,0.035523979
Fragment,0.002021166,0.195021366732895,0.00187249438437635,0.0046,0.037243948
Fragment,0.002182857,0.265850343081488,0.00193621662733443,0.0048,0.034843206
Fragment,0.002329768,0.130855256526302,0.00197586550502231,0.0048,0.034482759
Fragment,0.002117852,0.134588424310743,0.00189138240237276,0.0046,0.029368576
Fragment,0.002273014,0.16659260114386,0.00205871036242635,0.005,0.034467532
Fragment,0.002436774,0.199939784530085,0.00206746362614086,0.005,0.03968254
Fragment,0.002423198,0.134230751103771,0.00217921137362354,0.0054,0.034013605
Fragment,0.00226653,0.118843000909657,0.00185049155767696,0.0046,0.027855153
